Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Send,13:36:19.178.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
1,Receive,13:36:19.179.0,0x00000600,Data,Standard,0x08,fb a9 50 a9 ff b8 ec 00 
2,Receive,13:36:19.181.0,0x0000032f,Data,Standard,0x08,50 47 42 35 30 32 39 35 
3,Receive,13:36:19.183.0,0x0000032e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
4,Receive,13:36:19.187.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,13:36:19.189.0,0x00000600,Data,Standard,0x08,eb b9 50 a9 ff b8 ec 00 
6,Send,13:36:19.190.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
7,Receive,13:36:19.197.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,13:36:19.199.0,0x00000600,Data,Standard,0x08,9b c9 50 a9 ff b8 ec 00 
9,Send,13:36:19.202.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
10,Receive,13:36:19.207.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
11,Receive,13:36:19.209.0,0x00000600,Data,Standard,0x08,8b d9 50 a9 ff b8 ec 00 
12,Send,13:36:19.214.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
13,Receive,13:36:19.217.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
14,Receive,13:36:19.219.0,0x00000600,Data,Standard,0x08,bb e9 50 a9 ff b8 ec 00 
15,Send,13:36:19.226.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
16,Receive,13:36:19.228.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
17,Receive,13:36:19.228.0,0x00000600,Data,Standard,0x08,ab f9 50 a9 ff b8 ec 00 
18,Receive,13:36:19.236.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Send,13:36:19.238.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
20,Receive,13:36:19.240.0,0x00000600,Data,Standard,0x08,5b 09 50 a9 ff b8 ec 00 
21,Receive,13:36:19.247.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
22,Receive,13:36:19.249.0,0x00000600,Data,Standard,0x08,5b 09 50 a9 ff b8 ec 00 
