Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,14:05:13.859.0,0x0000032e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
1,Receive,14:05:13.863.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Send,14:05:13.865.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
3,Receive,14:05:13.867.0,0x00000600,Data,Standard,0x08,41 79 50 a5 ff c2 f0 00 
4,Receive,14:05:13.873.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,14:05:13.875.0,0x00000600,Data,Standard,0x08,b1 89 50 a5 ff c2 f0 00 
6,Send,14:05:13.877.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
7,Receive,14:05:13.883.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,14:05:13.885.0,0x00000600,Data,Standard,0x08,a1 99 50 a5 ff c2 f0 00 
9,Send,14:05:13.889.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
10,Receive,14:05:13.893.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
11,Receive,14:05:13.895.0,0x00000600,Data,Standard,0x08,91 a9 50 a5 ff c2 f0 00 
12,Send,14:05:13.901.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
13,Receive,14:05:13.903.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
14,Receive,14:05:13.905.0,0x00000600,Data,Standard,0x08,81 b9 50 a5 ff c2 f0 00 
15,Send,14:05:13.913.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
16,Receive,14:05:13.915.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
17,Receive,14:05:13.915.0,0x00000600,Data,Standard,0x08,f1 c9 50 a5 ff c2 f0 00 
18,Receive,14:05:13.923.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Send,14:05:13.925.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
20,Receive,14:05:13.927.0,0x00000600,Data,Standard,0x08,e1 d9 50 a5 ff c2 f0 00 
21,Receive,14:05:13.927.0,0x00000601,Data,Standard,0x08,1e f9 20 00 00 00 3f f8 
22,Receive,14:05:13.929.0,0x00000602,Data,Standard,0x08,38 f6 40 00 00 00 03 8d 
23,Receive,14:05:13.931.0,0x00000604,Data,Standard,0x08,a8 f8 28 79 81 7f 2e d1 
24,Receive,14:05:13.933.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
25,Receive,14:05:13.935.0,0x00000600,Data,Standard,0x08,d1 e9 50 a5 ff c2 f0 00 
26,Send,14:05:13.937.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
27,Receive,14:05:13.938.0,0x15000010,Data,Extend,0x08,7d fa 7e 04 7e 04 7e 04 
28,Receive,14:05:13.940.0,0x15100010,Data,Extend,0x08,7e 0e 7e 04 7e 04 7e 04 
29,Receive,14:05:13.942.0,0x15200010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
30,Receive,14:05:13.944.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
31,Receive,14:05:13.946.0,0x00000600,Data,Standard,0x08,c1 f9 50 a5 ff c2 f0 00 
32,Receive,14:05:13.948.0,0x15300010,Data,Extend,0x08,7e 04 7e 04 7e 04 7e 04 
33,Send,14:05:13.949.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
34,Receive,14:05:13.950.0,0x16500015,Data,Extend,0x08,5f 16 46 00 1a 05 00 00 
35,Receive,14:05:13.954.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
