Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,15:36:11.426.0,0x000005cd,Data,Standard,0x08,40 00 00 00 06 23 54 00 
1,Receive,15:36:11.433.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Receive,15:36:11.433.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ce 5f 
3,Receive,15:36:11.433.0,0x00000150,Data,Standard,0x08,1a 0c 19 0c 70 17 c0 c5 
4,Send,15:36:11.436.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
5,Receive,15:36:11.444.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
6,Receive,15:36:11.444.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 de 92 
7,Receive,15:36:11.444.0,0x00000150,Data,Standard,0x08,1a 0c 19 0c 70 17 d0 08 
8,Receive,15:36:11.444.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
9,Receive,15:36:11.444.0,0x000005c3,Data,Standard,0x08,01 00 6c 70 00 01 05 00 
10,Send,15:36:11.447.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
11,Receive,15:36:11.453.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Receive,15:36:11.453.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ee d8 
13,Receive,15:36:11.453.0,0x00000150,Data,Standard,0x08,1b 0c 1a 0c 70 17 e0 a1 
14,Send,15:36:11.460.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
15,Receive,15:36:11.463.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
16,Receive,15:36:11.463.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 fe 15 
17,Receive,15:36:11.463.0,0x00000150,Data,Standard,0x08,1b 0c 1a 0c 70 17 f0 6c 
18,Receive,15:36:11.464.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Send,15:36:11.471.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
20,Receive,15:36:11.473.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
21,Receive,15:36:11.473.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 0e 6a 
22,Receive,15:36:11.474.0,0x00000150,Data,Standard,0x08,1b 0c 1a 0c 70 17 00 13 
23,Receive,15:36:11.483.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
24,Receive,15:36:11.483.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 1e a7 
25,Receive,15:36:11.483.0,0x00000150,Data,Standard,0x08,1b 0c 19 0c 70 17 10 60 
26,Receive,15:36:11.483.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
27,Send,15:36:11.483.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
28,Receive,15:36:11.493.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
