Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,15:17:23.743.0,0x00000150,Data,Standard,0x08,10 0c 0e 0c 6f 17 90 08 
1,Receive,15:17:23.744.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Send,15:17:23.746.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
3,Receive,15:17:23.749.0,0x000003c4,Data,Standard,0x08,00 00 88 13 00 13 0f 8c 
4,Receive,15:17:23.753.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,15:17:23.753.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ae cb 
6,Receive,15:17:23.753.0,0x00000150,Data,Standard,0x08,11 0c 0e 0c 6f 17 a0 1f 
7,Send,15:17:23.758.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
8,Receive,15:17:23.764.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
9,Receive,15:17:23.764.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 be 06 
10,Receive,15:17:23.764.0,0x00000150,Data,Standard,0x08,11 0c 0e 0c 6f 17 b0 d2 
11,Receive,15:17:23.764.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Receive,15:17:23.766.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
13,Receive,15:17:23.766.0,0x000003d2,Data,Standard,0x08,10 27 6f 44 44 c4 03 00 
14,Receive,15:17:23.766.0,0x000003d3,Data,Standard,0x08,ad 32 bc 12 b5 12 46 18 
15,Receive,15:17:23.766.0,0x000003e8,Data,Standard,0x08,61 00 32 00 e8 87 51 72 
16,Receive,15:17:23.766.0,0x000003e9,Data,Standard,0x08,c4 0a f9 0a 01 27 db 0a 
17,Receive,15:17:23.766.0,0x000003ea,Data,Standard,0x08,4a 02 14 00 00 00 00 00 
18,Receive,15:17:23.766.0,0x000003eb,Data,Standard,0x08,00 00 20 03 1b 03 11 03 
19,Receive,15:17:23.766.0,0x000003ec,Data,Standard,0x08,4d c5 15 5d 5c 71 45 00 
20,Receive,15:17:23.766.0,0x000005cd,Data,Standard,0x08,40 00 00 00 06 23 54 00 
21,Receive,15:17:23.767.0,0x0000060a,Data,Standard,0x08,00 00 00 00 00 00 00 00 
22,Receive,15:17:23.767.0,0x0000060b,Data,Standard,0x08,00 00 00 00 00 00 00 00 
23,Send,15:17:23.768.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
24,Receive,15:17:23.774.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
25,Receive,15:17:23.774.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ce 5f 
26,Receive,15:17:23.774.0,0x00000150,Data,Standard,0x08,11 0c 0e 0c 6f 17 c0 8b 
27,Send,15:17:23.780.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
