Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,5449.9014,BMS_13,0000002E,--,--,--,Standard,Data frm,08,80 A5 89 60 00 0A 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_AfterContactorVoltage,51.40000000000001V,--,,202,14,10,0.1,0,,
,BMS_BatteryV2_V1,60V,--,,258,20,10,0.1,0,,
,BMS_BatteryV3_V1,60V,--,,258,26,10,0.1,0,,
,BMS_VCU_CANCommFlt_Critical,0,No Fault,,0,48,2,1,0,,
,BMS_LVSupplyFlt_Critical,0,No Fault,,0,50,2,1,0,,
,BMS_E2P_Write_Sts,0,--,,0,52,2,1,0,,
,BMS_CellVtgLimit_Fault,0,--,,0,54,2,1,0,,
,BMS_PreAttempt_Failure,0,--,,0,56,2,1,0,,
,BMS_ContactorHealth_Fault,0,--,,0,58,2,1,0,,
,BMS_ShortCircuit_Detection,0,--,,0,60,2,1,0,,
,BMS_E2PRW_Fault,0,--,,0,62,2,1,0,,
2,Receive,5449.9014,BMS_01,00000022,--,--,--,Standard,Data frm,08,19 64 4E 03 27 E8 04 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_Pack_Current,0A,--,,1964,8,16,0.1,-650,,
,BMS_OperatingMode,3,HVActive,,3,18,4,1,0,,
,BMS_KeyOn,1,Online,,1,22,1,1,0,,
,BMS_Pack_Voltage,51.5V,--,,203,24,10,0.1,0,,
,BMS_Fault_Level,1,First Level Fault,,1,34,3,1,0,,
,BMS_DerateFlag,1,Enable,,1,37,1,1,0,,
,BMS_SOH,100%,--,,3E8,40,10,0.1,0,,
,BMS_PosRly_status,1,Close,,1,50,2,1,0,,
,BMS_PreChargeRly_Status,0,Open,,0,54,2,1,0,,
,BMS_SOC,0%,--,,0,56,10,0.1,0,,
3,Receive,5449.9014,BMS_03,00000024,--,--,--,Standard,Data frm,08,03 6B 00 00 03 6B 00 00 ,,
