Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,14:35:32.314.0,0x00000024,Data,Standard,0x08,03 97 00 00 03 97 00 00 
1,Receive,14:35:32.314.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Receive,14:35:32.315.0,0x0000002e,Data,Standard,0x08,80 a5 79 60 00 01 00 00 
3,Receive,14:35:32.317.0,0x00000022,Data,Standard,0x08,19 63 4e 03 27 e8 04 00 
4,Receive,14:35:32.317.0,0x00000024,Data,Standard,0x08,03 97 00 00 03 97 00 00 
5,Receive,14:35:32.318.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
6,Receive,14:35:32.319.0,0x0000002e,Data,Standard,0x08,80 a5 79 60 00 02 00 00 
7,Send,14:35:32.323.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
8,Receive,14:35:32.325.0,0x00000022,Data,Standard,0x08,19 63 4e 03 27 e8 04 00 
9,Receive,14:35:32.325.0,0x00000024,Data,Standard,0x08,03 97 00 00 03 97 00 00 
10,Receive,14:35:32.325.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
11,Receive,14:35:32.326.0,0x0000002e,Data,Standard,0x08,80 a5 79 60 00 03 00 00 
12,Receive,14:35:32.334.0,0x00000022,Data,Standard,0x08,19 64 4e 03 27 e8 04 00 
13,Receive,14:35:32.334.0,0x00000024,Data,Standard,0x08,03 97 00 00 03 97 00 00 
14,Receive,14:35:32.335.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
15,Receive,14:35:32.336.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 04 00 00 
16,Send,14:35:32.336.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
17,Receive,14:35:32.345.0,0x00000022,Data,Standard,0x08,19 63 4e 03 27 e8 04 00 
18,Receive,14:35:32.345.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 97 00 00 
19,Receive,14:35:32.347.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
20,Receive,14:35:32.347.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 05 00 00 
21,Send,14:35:32.348.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
22,Receive,14:35:32.354.0,0x00000022,Data,Standard,0x08,19 64 4e 03 27 e8 04 00 
23,Receive,14:35:32.354.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 98 00 00 
24,Receive,14:35:32.356.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
25,Receive,14:35:32.357.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 06 00 00 
26,Send,14:35:32.359.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
27,Receive,14:35:32.364.0,0x00000022,Data,Standard,0x08,19 64 4e 03 27 e8 04 00 
28,Receive,14:35:32.364.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 98 00 00 
29,Receive,14:35:32.365.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
30,Receive,14:35:32.366.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 07 00 00 
31,Send,14:35:32.371.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
32,Receive,14:35:32.373.0,0x00000022,Data,Standard,0x08,19 63 4e 03 27 e8 04 00 
33,Receive,14:35:32.375.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 98 00 00 
34,Receive,14:35:32.375.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
35,Receive,14:35:32.376.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 08 00 00 
36,Receive,14:35:32.384.0,0x00000022,Data,Standard,0x08,19 64 4e 03 27 e8 04 00 
37,Receive,14:35:32.384.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 98 00 00 
38,Send,14:35:32.384.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
39,Receive,14:35:32.385.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
40,Receive,14:35:32.386.0,0x0000002e,Data,Standard,0x08,80 a5 89 60 00 09 00 00 
41,Receive,14:35:32.395.0,0x00000022,Data,Standard,0x08,19 64 4e 03 27 e8 04 00 
42,Receive,14:35:32.395.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 98 00 00 
43,Receive,14:35:32.395.0,0x00000025,Data,Standard,0x08,00 00 00 00 00 00 00 00 
44,Send,14:35:32.396.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
45,Receive,14:35:32.397.0,0x0000002e,Data,Standard,0x08,80 a5 79 60 00 0a 00 00 
46,Receive,14:35:32.397.0,0x00000023,Data,Standard,0x08,28 0a 14 46 00 00 01 91 
47,Receive,14:35:32.399.0,0x00000026,Data,Standard,0x08,4f 4e 23 45 44 45 45 46 
48,Receive,14:35:32.399.0,0x00000027,Data,Standard,0x08,05 60 00 42 a0 03 99 e0 
49,Receive,14:35:32.401.0,0x00000028,Data,Standard,0x08,01 42 01 42 09 03 00 00 
50,Receive,14:35:32.401.0,0x0000002d,Data,Standard,0x08,00 00 04 00 00 00 00 00 
51,Receive,14:35:32.402.0,0x00000029,Data,Standard,0x08,0c 99 0c 99 0c 99 0c 99 
52,Receive,14:35:32.404.0,0x0000002a,Data,Standard,0x08,0c 9a 0c 99 0c 9a 0c 99 
53,Receive,14:35:32.404.0,0x0000002b,Data,Standard,0x08,0c 9a 0c 99 0c 99 0c 99 
54,Receive,14:35:32.405.0,0x0000002c,Data,Standard,0x08,0c 9a 0c 9a 0c 99 0c 9a 
55,Receive,14:35:32.405.0,0x0000002f,Data,Standard,0x08,00 00 00 00 00 00 00 00 
56,Receive,14:35:32.407.0,0x00000050,Data,Standard,0x08,00 00 00 00 00 00 00 00 
57,Receive,14:35:32.408.0,0x00000051,Data,Standard,0x08,00 00 00 00 c8 22 81 00 
58,Send,14:35:32.408.0,0x00000020,Data,Standard,0x08,03 01 00 00 01 00 00 00 
59,Receive,14:35:32.410.0,0x00000052,Data,Standard,0x08,01 86 a0 45 00 00 00 05 
60,Receive,14:35:32.410.0,0x00000053,Data,Standard,0x08,00 00 0c 00 00 00 00 00 
61,Receive,14:35:32.411.0,0x00000054,Data,Standard,0x08,00 00 00 00 00 00 00 00 
62,Receive,14:35:32.413.0,0x00000022,Data,Standard,0x08,19 64 4e 03 27 e8 04 00 
63,Receive,14:35:32.414.0,0x00000024,Data,Standard,0x08,03 98 00 00 03 98 00 00 
