Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,22:40:35.530.0,0x00000703,Data,Standard,0x08,0d 38 17 70 0c 2f 03 3f 
1,Receive,22:40:35.534.0,0x00000733,Data,Standard,0x08,00 01 a7 00 00 00 49 43 
2,Send,22:40:35.537.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
3,Receive,22:40:35.540.0,0x00000703,Data,Standard,0x08,0d 39 17 70 0c 2f 23 fe 
4,Receive,22:40:35.544.0,0x00000733,Data,Standard,0x08,00 01 a7 00 00 00 4a 64 
5,Send,22:40:35.549.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
6,Receive,22:40:35.550.0,0x00000703,Data,Standard,0x08,0d 39 17 70 0c 2f 43 6a 
7,Receive,22:40:35.554.0,0x00000733,Data,Standard,0x08,00 01 a7 00 00 00 4b 79 
8,Receive,22:40:35.560.0,0x00000703,Data,Standard,0x08,0d 39 17 70 0c 2f 63 ed 
9,Send,22:40:35.561.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
10,Receive,22:40:35.564.0,0x00000733,Data,Standard,0x08,00 01 a7 00 00 00 4c 2a 
11,Receive,22:40:35.570.0,0x00000703,Data,Standard,0x08,0d 39 17 70 0c 2f 83 5f 
12,Send,22:40:35.572.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
13,Receive,22:40:35.573.0,0x00000733,Data,Standard,0x08,00 01 a7 00 00 00 4d 37 
14,Receive,22:40:35.579.0,0x00000712,Data,Standard,0x08,44 44 44 44 44 44 44 44 
15,Receive,22:40:35.579.0,0x000003eb,Data,Standard,0x08,0c 00 00 09 c4 00 00 00 
16,Receive,22:40:35.581.0,0x000003f1,Data,Standard,0x08,44 44 44 45 44 45 00 00 
17,Receive,22:40:35.581.0,0x000003f3,Data,Standard,0x08,00 00 00 00 00 00 00 00 
18,Receive,22:40:35.581.0,0x000005e5,Data,Standard,0x08,01 20 55 55 55 55 55 55 
19,Receive,22:40:35.581.0,0x00000703,Data,Standard,0x08,0d 39 17 70 0c 2f a3 d8 
20,Receive,22:40:35.581.0,0x00000706,Data,Standard,0x08,04 e0 00 00 37 00 00 6a 
21,Receive,22:40:35.581.0,0x00000707,Data,Standard,0x08,00 00 00 00 01 00 00 00 
22,Receive,22:40:35.581.0,0x00000708,Data,Standard,0x08,00 00 00 00 00 00 00 2a 
23,Receive,22:40:35.581.0,0x00000709,Data,Standard,0x08,0a 4f 0e 4e 01 30 00 ce 
24,Receive,22:40:35.583.0,0x00000710,Data,Standard,0x08,4d 4d 4e fd e8 00 26 0a 
25,Receive,22:40:35.583.0,0x00000711,Data,Standard,0x08,50 81 41 0a 29 26 0e 10 
26,Receive,22:40:35.583.0,0x00000713,Data,Standard,0x08,00 00 00 02 34 79 00 00 
27,Receive,22:40:35.583.0,0x00000729,Data,Standard,0x08,00 00 00 00 00 00 00 00 
28,Receive,22:40:35.583.0,0x0000072a,Data,Standard,0x08,00 00 00 00 00 00 0c 4c 
