Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,11:34:52.844.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
1,Receive,11:34:52.850.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Receive,11:34:52.852.0,0x00000600,Data,Standard,0x08,65 29 53 65 ff b9 3c 00 
3,Send,11:34:52.855.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
4,Receive,11:34:52.860.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,11:34:52.862.0,0x00000600,Data,Standard,0x08,75 39 53 65 ff b9 3c 00 
6,Send,11:34:52.867.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
7,Receive,11:34:52.870.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,11:34:52.872.0,0x00000600,Data,Standard,0x08,05 49 53 65 ff b9 3c 00 
9,Send,11:34:52.879.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
10,Receive,11:34:52.880.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
11,Receive,11:34:52.882.0,0x00000600,Data,Standard,0x08,15 59 53 65 ff b9 3c 00 
12,Receive,11:34:52.890.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
13,Send,11:34:52.891.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
14,Receive,11:34:52.892.0,0x00000600,Data,Standard,0x08,25 69 53 65 ff b9 3c 00 
15,Receive,11:34:52.900.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
16,Receive,11:34:52.902.0,0x00000600,Data,Standard,0x08,35 79 53 65 ff b9 3c 00 
17,Send,11:34:52.903.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
18,Receive,11:34:52.910.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Receive,11:34:52.912.0,0x00000600,Data,Standard,0x08,c5 89 53 65 ff b9 3c 00 
20,Receive,11:34:52.914.0,0x00000601,Data,Standard,0x08,8e 69 20 00 00 00 3f f8 
21,Send,11:34:52.915.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
22,Receive,11:34:52.916.0,0x00000602,Data,Standard,0x08,9e 66 40 00 00 00 04 bc 
23,Receive,11:34:52.918.0,0x00000604,Data,Standard,0x08,29 68 2a 05 82 b8 55 01 
24,Receive,11:34:52.920.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
25,Receive,11:34:52.922.0,0x00000600,Data,Standard,0x08,d5 99 53 65 ff b9 3c 00 
26,Receive,11:34:52.924.0,0x15000010,Data,Extend,0x08,82 46 82 50 82 50 82 50 
27,Receive,11:34:52.926.0,0x15100010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
28,Send,11:34:52.927.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
29,Receive,11:34:52.928.0,0x15200010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
30,Receive,11:34:52.930.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
31,Receive,11:34:52.932.0,0x00000600,Data,Standard,0x08,e5 a9 53 65 ff b9 3c 00 
32,Receive,11:34:52.934.0,0x15300010,Data,Extend,0x08,82 50 82 50 82 50 82 5a 
33,Receive,11:34:52.936.0,0x16500015,Data,Extend,0x08,03 1b 4e 00 61 04 00 00 
34,Send,11:34:52.939.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
35,Receive,11:34:52.940.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
36,Receive,11:34:52.942.0,0x00000600,Data,Standard,0x08,f5 b9 53 65 ff b9 3c 00 
37,Receive,11:34:52.944.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
38,Receive,11:34:52.950.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
39,Send,11:34:52.951.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
40,Receive,11:34:52.952.0,0x00000600,Data,Standard,0x08,85 c9 53 65 ff b9 3c 00 
41,Receive,11:34:52.960.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
42,Receive,11:34:52.962.0,0x00000600,Data,Standard,0x08,95 d9 53 65 ff b9 3c 00 
43,Send,11:34:52.963.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
44,Receive,11:34:52.970.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
45,Receive,11:34:52.972.0,0x00000600,Data,Standard,0x08,a5 e9 53 65 ff b9 3c 00 
46,Send,11:34:52.975.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
47,Receive,11:34:52.980.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
48,Receive,11:34:52.982.0,0x00000600,Data,Standard,0x08,b5 f9 53 65 ff b9 3c 00 
49,Send,11:34:52.987.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
50,Receive,11:34:52.990.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
51,Receive,11:34:52.992.0,0x00000600,Data,Standard,0x08,45 09 53 65 ff b9 3c 00 
52,Send,11:34:52.999.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
53,Receive,11:34:53.000.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
54,Receive,11:34:53.002.0,0x00000600,Data,Standard,0x08,45 09 53 65 ff b9 3c 00 
55,Receive,11:34:53.010.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
56,Send,11:34:53.011.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
57,Receive,11:34:53.012.0,0x00000600,Data,Standard,0x08,55 19 53 65 ff b9 3c 00 
58,Receive,11:34:53.014.0,0x00000601,Data,Standard,0x08,9e 79 20 00 00 00 3f f8 
59,Receive,11:34:53.016.0,0x00000602,Data,Standard,0x08,8e 76 40 00 00 00 04 bc 
60,Receive,11:34:53.018.0,0x00000604,Data,Standard,0x08,3b 78 2a 07 82 b8 55 01 
61,Receive,11:34:53.020.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
62,Receive,11:34:53.022.0,0x00000600,Data,Standard,0x08,65 29 53 65 ff b9 3c 00 
63,Send,11:34:53.023.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
64,Receive,11:34:53.024.0,0x15000010,Data,Extend,0x08,82 46 82 50 82 50 82 50 
65,Receive,11:34:53.026.0,0x15100010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
66,Receive,11:34:53.028.0,0x15200010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
67,Receive,11:34:53.030.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
68,Receive,11:34:53.032.0,0x00000600,Data,Standard,0x08,75 39 53 65 ff b9 3c 00 
69,Receive,11:34:53.034.0,0x15300010,Data,Extend,0x08,82 50 82 50 82 50 82 5a 
70,Send,11:34:53.035.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
71,Receive,11:34:53.036.0,0x16500015,Data,Extend,0x08,03 1b 4e 00 61 04 00 00 
72,Receive,11:34:53.040.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
73,Receive,11:34:53.042.0,0x00000600,Data,Standard,0x08,05 49 53 65 ff b9 3c 00 
74,Receive,11:34:53.044.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
75,Send,11:34:53.047.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
76,Receive,11:34:53.050.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
77,Receive,11:34:53.052.0,0x00000600,Data,Standard,0x08,15 59 53 65 ff b9 3c 00 
78,Send,11:34:53.059.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
79,Receive,11:34:53.060.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
80,Receive,11:34:53.062.0,0x00000600,Data,Standard,0x08,25 69 53 65 ff b9 3c 00 
81,Receive,11:34:53.070.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
82,Send,11:34:53.071.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
83,Receive,11:34:53.072.0,0x00000600,Data,Standard,0x08,35 79 53 65 ff b9 3c 00 
84,Receive,11:34:53.080.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
85,Receive,11:34:53.082.0,0x00000600,Data,Standard,0x08,c5 89 53 65 ff b9 3c 00 
86,Send,11:34:53.083.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
87,Receive,11:34:53.090.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
88,Receive,11:34:53.092.0,0x00000600,Data,Standard,0x08,d5 99 53 65 ff b9 3c 00 
89,Send,11:34:53.095.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
90,Receive,11:34:53.100.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
91,Receive,11:34:53.102.0,0x00000600,Data,Standard,0x08,e5 a9 53 65 ff b9 3c 00 
92,Send,11:34:53.107.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
93,Receive,11:34:53.110.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
94,Receive,11:34:53.112.0,0x00000600,Data,Standard,0x08,f5 b9 53 65 ff b9 3c 00 
95,Receive,11:34:53.114.0,0x00000601,Data,Standard,0x08,6e 89 20 00 00 00 3f f8 
96,Receive,11:34:53.116.0,0x00000602,Data,Standard,0x08,7e 86 40 00 00 00 04 bc 
97,Receive,11:34:53.118.0,0x00000604,Data,Standard,0x08,cb 88 2a 07 82 b8 55 01 
98,Send,11:34:53.119.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
99,Receive,11:34:53.120.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
100,Receive,11:34:53.122.0,0x00000600,Data,Standard,0x08,85 c9 53 65 ff b9 3c 00 
101,Receive,11:34:53.124.0,0x15000010,Data,Extend,0x08,82 46 82 50 82 50 82 50 
102,Receive,11:34:53.126.0,0x15100010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
103,Receive,11:34:53.128.0,0x15200010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
104,Receive,11:34:53.130.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
105,Send,11:34:53.131.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
106,Receive,11:34:53.132.0,0x00000600,Data,Standard,0x08,95 d9 53 65 ff b9 3c 00 
107,Receive,11:34:53.134.0,0x15300010,Data,Extend,0x08,82 50 82 50 82 50 82 5a 
108,Receive,11:34:53.136.0,0x16500015,Data,Extend,0x08,03 1b 4e 00 61 04 00 00 
109,Receive,11:34:53.140.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
110,Receive,11:34:53.142.0,0x00000600,Data,Standard,0x08,a5 e9 53 65 ff b9 3c 00 
111,Send,11:34:53.143.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
112,Receive,11:34:53.144.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
113,Receive,11:34:53.150.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
114,Receive,11:34:53.152.0,0x00000600,Data,Standard,0x08,b5 f9 53 65 ff b9 3c 00 
115,Send,11:34:53.155.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
116,Receive,11:34:53.160.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
117,Receive,11:34:53.162.0,0x00000600,Data,Standard,0x08,45 09 53 65 ff b9 3c 00 
118,Send,11:34:53.167.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
119,Receive,11:34:53.170.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
120,Receive,11:34:53.172.0,0x00000600,Data,Standard,0x08,45 09 53 65 ff b9 3c 00 
121,Send,11:34:53.179.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
122,Receive,11:34:53.180.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
123,Receive,11:34:53.182.0,0x00000600,Data,Standard,0x08,55 19 53 65 ff b9 3c 00 
124,Receive,11:34:53.190.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
125,Send,11:34:53.191.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
126,Receive,11:34:53.192.0,0x00000600,Data,Standard,0x08,65 29 53 65 ff b9 3c 00 
127,Receive,11:34:53.200.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
128,Receive,11:34:53.202.0,0x00000600,Data,Standard,0x08,75 39 53 65 ff b9 3c 00 
129,Send,11:34:53.203.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
130,Receive,11:34:53.210.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
131,Receive,11:34:53.212.0,0x00000600,Data,Standard,0x08,05 49 53 65 ff b9 3c 00 
132,Receive,11:34:53.214.0,0x00000601,Data,Standard,0x08,7e 99 20 00 00 00 3f f8 
133,Send,11:34:53.215.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
134,Receive,11:34:53.216.0,0x00000602,Data,Standard,0x08,6e 96 40 00 00 00 04 bc 
135,Receive,11:34:53.218.0,0x00000604,Data,Standard,0x08,d9 98 2a 05 82 b8 55 01 
136,Receive,11:34:53.220.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
137,Receive,11:34:53.222.0,0x00000600,Data,Standard,0x08,15 59 53 65 ff b9 3c 00 
138,Receive,11:34:53.224.0,0x15000010,Data,Extend,0x08,82 46 82 50 82 50 82 50 
139,Receive,11:34:53.226.0,0x15100010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
140,Send,11:34:53.227.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
141,Receive,11:34:53.228.0,0x15200010,Data,Extend,0x08,82 50 82 50 82 50 82 50 
142,Receive,11:34:53.230.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
143,Receive,11:34:53.232.0,0x00000600,Data,Standard,0x08,25 69 53 65 ff b9 3c 00 
144,Receive,11:34:53.234.0,0x15300010,Data,Extend,0x08,82 50 82 50 82 50 82 5a 
145,Receive,11:34:53.236.0,0x16500015,Data,Extend,0x08,03 1b 4e 00 61 04 00 00 
146,Send,11:34:53.239.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
147,Receive,11:34:53.240.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
148,Receive,11:34:53.242.0,0x00000600,Data,Standard,0x08,35 79 53 65 ff b9 3c 00 
149,Receive,11:34:53.244.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
150,Receive,11:34:53.250.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
151,Send,11:34:53.251.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
152,Receive,11:34:53.252.0,0x00000600,Data,Standard,0x08,c5 89 53 65 ff b9 3c 00 
153,Receive,11:34:53.260.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
154,Receive,11:34:53.262.0,0x00000600,Data,Standard,0x08,d5 99 53 65 ff b9 3c 00 
155,Send,11:34:53.263.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
156,Receive,11:34:53.270.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
157,Receive,11:34:53.272.0,0x00000600,Data,Standard,0x08,e5 a9 53 65 ff b9 3c 00 
158,Send,11:34:53.275.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
159,Receive,11:34:53.280.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
160,Receive,11:34:53.282.0,0x00000600,Data,Standard,0x08,f5 b9 53 65 ff b9 3c 00 
161,Send,11:34:53.287.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
162,Receive,11:34:53.290.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
163,Receive,11:34:53.292.0,0x00000600,Data,Standard,0x08,85 c9 53 65 ff b9 3c 00 
164,Send,11:34:53.299.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
165,Receive,11:34:53.300.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
166,Receive,11:34:53.302.0,0x00000600,Data,Standard,0x08,95 d9 53 65 ff b9 3c 00 
167,Receive,11:34:53.310.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
168,Send,11:34:53.311.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
169,Receive,11:34:53.312.0,0x00000600,Data,Standard,0x08,a5 e9 53 65 ff b9 3c 00 
170,Receive,11:34:53.314.0,0x00000601,Data,Standard,0x08,4e a9 20 00 00 00 3f f8 
171,Receive,11:34:53.316.0,0x00000602,Data,Standard,0x08,5e a6 40 00 00 00 04 bc 
172,Receive,11:34:53.318.0,0x00000604,Data,Standard,0x08,eb a8 2a 07 82 b8 55 01 
173,Receive,11:34:53.320.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
