Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,08:45:30.099.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
1,Receive,08:45:30.105.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Receive,08:45:30.107.0,0x00000600,Data,Standard,0x08,bc 69 52 a5 ff c5 18 00 
3,Send,08:45:30.109.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
4,Receive,08:45:30.115.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,08:45:30.117.0,0x00000600,Data,Standard,0x08,ac 79 52 a5 ff c5 18 00 
6,Send,08:45:30.121.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
7,Receive,08:45:30.125.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,08:45:30.127.0,0x00000600,Data,Standard,0x08,5c 89 52 a5 ff c5 18 00 
9,Send,08:45:30.133.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
10,Receive,08:45:30.135.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
11,Receive,08:45:30.137.0,0x00000600,Data,Standard,0x08,4c 99 52 a5 ff c5 18 00 
12,Receive,08:45:30.145.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
13,Send,08:45:30.145.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
14,Receive,08:45:30.147.0,0x00000600,Data,Standard,0x08,7c a9 52 a5 ff c5 18 00 
15,Receive,08:45:30.156.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
16,Receive,08:45:30.156.0,0x00000600,Data,Standard,0x08,6c b9 52 a5 ff c5 18 00 
17,Send,08:45:30.157.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
18,Receive,08:45:30.166.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Receive,08:45:30.166.0,0x00000600,Data,Standard,0x08,1c c9 52 a5 ff c5 18 00 
20,Receive,08:45:30.168.0,0x00000601,Data,Standard,0x08,de 39 20 00 00 00 3f f8 
21,Send,08:45:30.169.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
22,Receive,08:45:30.170.0,0x00000602,Data,Standard,0x08,ce 36 40 00 00 00 04 bc 
23,Receive,08:45:30.172.0,0x00000604,Data,Standard,0x08,f6 38 29 7f 82 28 43 71 
24,Receive,08:45:30.176.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
25,Receive,08:45:30.176.0,0x00000600,Data,Standard,0x08,0c d9 52 a5 ff c5 18 00 
26,Receive,08:45:30.178.0,0x15000010,Data,Extend,0x08,81 1a 81 1a 81 24 81 24 
27,Receive,08:45:30.180.0,0x15100010,Data,Extend,0x08,81 24 81 24 81 24 81 1a 
28,Send,08:45:30.181.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
29,Receive,08:45:30.182.0,0x15200010,Data,Extend,0x08,81 24 81 24 81 24 81 24 
30,Receive,08:45:30.186.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
