Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,14:03:46.709.0,0x00000600,Data,Standard,0x08,7c 89 52 b1 ff c5 2c 00 
1,Receive,14:03:46.717.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
2,Receive,14:03:46.719.0,0x00000600,Data,Standard,0x08,6c 99 52 b1 ff c5 2c 00 
3,Receive,14:03:46.727.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
4,Receive,14:03:46.729.0,0x00000600,Data,Standard,0x08,5c a9 52 b1 ff c5 2c 00 
5,Receive,14:03:46.737.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
6,Receive,14:03:46.739.0,0x00000600,Data,Standard,0x08,4c b9 52 b1 ff c5 2c 00 
7,Receive,14:03:46.747.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,14:03:46.749.0,0x00000600,Data,Standard,0x08,3c c9 52 b1 ff c5 2c 00 
9,Receive,14:03:46.757.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
10,Receive,14:03:46.759.0,0x00000600,Data,Standard,0x08,2c d9 52 b1 ff c5 2c 00 
11,Receive,14:03:46.767.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Send,14:03:46.768.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
13,Receive,14:03:46.769.0,0x00000600,Data,Standard,0x08,1c e9 52 b1 ff c5 2c 00 
14,Receive,14:03:46.771.0,0x00000601,Data,Standard,0x08,4e a9 20 00 00 00 3f f8 
15,Receive,14:03:46.773.0,0x00000602,Data,Standard,0x08,5e a6 40 00 00 00 04 bc 
16,Receive,14:03:46.775.0,0x00000604,Data,Standard,0x08,54 a8 29 5d 82 28 43 61 
17,Receive,14:03:46.777.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
18,Receive,14:03:46.779.0,0x00000600,Data,Standard,0x08,0c f9 52 b1 ff c5 2c 00 
19,Receive,14:03:46.781.0,0x15000010,Data,Extend,0x08,81 2e 81 2e 81 38 81 38 
20,Receive,14:03:46.783.0,0x15100010,Data,Extend,0x08,81 38 81 38 81 2e 81 2e 
21,Receive,14:03:46.785.0,0x15200010,Data,Extend,0x08,81 38 81 2e 81 38 81 38 
22,Receive,14:03:46.787.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
23,Receive,14:03:46.789.0,0x00000600,Data,Standard,0x08,fc 09 52 b1 ff c5 2c 00 
24,Receive,14:03:46.791.0,0x15300010,Data,Extend,0x08,81 38 81 38 81 2e 81 38 
25,Receive,14:03:46.793.0,0x16500015,Data,Extend,0x08,1c 1b 4d 00 61 04 00 00 
26,Receive,14:03:46.797.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
27,Receive,14:03:46.799.0,0x00000600,Data,Standard,0x08,fc 09 52 b1 ff c5 2c 00 
28,Receive,14:03:46.801.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
29,Receive,14:03:46.807.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
30,Receive,14:03:46.809.0,0x00000600,Data,Standard,0x08,ec 19 52 b1 ff c5 2c 00 
31,Receive,14:03:46.817.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
32,Receive,14:03:46.819.0,0x00000600,Data,Standard,0x08,dc 29 52 b1 ff c5 2c 00 
33,Receive,14:03:46.827.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
34,Receive,14:03:46.829.0,0x00000600,Data,Standard,0x08,cc 39 52 b1 ff c5 2c 00 
35,Receive,14:03:46.837.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
36,Receive,14:03:46.839.0,0x00000600,Data,Standard,0x08,bc 49 52 b1 ff c5 2c 00 
37,Receive,14:03:46.847.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
