Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Send,16:42:42.486.0,0x00000200,Data,Standard,0x08,00 00 12 00 00 00 00 00 
1,Receive,16:42:42.487.0,0x00000120,Data,Standard,0x08,f1 4f 00 00 04 01 3b 01 
2,Receive,16:42:42.487.0,0x00000121,Data,Standard,0x08,8c 0f 00 00 3d 01 ff 0f 
3,Receive,16:42:42.489.0,0x00000122,Data,Standard,0x08,58 0f 3b 01 b4 00 5e 01 
4,Receive,16:42:42.489.0,0x00000129,Data,Standard,0x08,00 00 64 00 00 00 00 00 
5,Receive,16:42:42.489.0,0x00000142,Data,Standard,0x08,39 39 39 39 39 39 39 00 
6,Receive,16:42:42.491.0,0x18ff2c83,Data,Extend,0x08,09 00 22 25 a0 00 00 00 
7,Receive,16:42:42.491.0,0x00000143,Data,Standard,0x08,e5 0c e7 0c e6 0c e7 0c 
8,Receive,16:42:42.491.0,0x00000167,Data,Standard,0x08,39 39 39 39 39 39 39 39 
9,Receive,16:42:42.493.0,0x00000169,Data,Standard,0x08,5d 3b 01 32 e5 0c 00 00 
10,Receive,16:42:42.493.0,0x00000144,Data,Standard,0x08,e6 0c e7 0c e7 0c e6 0c 
11,Receive,16:42:42.493.0,0x00000145,Data,Standard,0x08,e7 0c e7 0c e7 0c e7 0c 
12,Receive,16:42:42.495.0,0x00000168,Data,Standard,0x08,39 39 39 39 00 00 00 00 
13,Receive,16:42:42.499.0,0x00000146,Data,Standard,0x08,e6 0c e6 0c e6 0c e7 0c 
14,Receive,16:42:42.501.0,0x00000147,Data,Standard,0x08,e6 0c e6 0c e7 0c e7 0c 
15,Receive,16:42:42.505.0,0x00000148,Data,Standard,0x08,e6 0c e6 0c e6 0c e7 0c 
16,Receive,16:42:42.511.0,0x00000149,Data,Standard,0x08,e6 0c e7 0c e6 0c e6 0c 
17,Receive,16:42:42.513.0,0x00000150,Data,Standard,0x08,e6 0c e7 0c e6 0c e6 0c 
18,Receive,16:42:42.515.0,0x00000151,Data,Standard,0x08,e7 0c e6 0c e7 0c e6 0c 
19,Receive,16:42:42.521.0,0x00000152,Data,Standard,0x08,e6 0c e6 0c e6 0c e7 0c 
20,Receive,16:42:42.525.0,0x00000153,Data,Standard,0x08,e6 0c e6 0c e7 0c e7 0c 
21,Receive,16:42:42.529.0,0x00000154,Data,Standard,0x08,e6 0c e7 0c e7 0c e6 0c 
22,Receive,16:42:42.533.0,0x00000155,Data,Standard,0x08,e7 0c e6 0c e6 0c e7 0c 
23,Receive,16:42:42.537.0,0x00000156,Data,Standard,0x08,e6 0c e6 0c e4 0c e5 0c 
