Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,05:30:54.028.0,0x15300010,Data,Extend,0x08,7d fa 7e 04 7e 04 7d fa 
1,Receive,05:30:54.028.0,0x16500015,Data,Extend,0x08,46 16 43 00 1a 05 00 00 
2,Send,05:30:54.030.0,0x00000313,Data,Standard,0x08,00 04 00 00 00 00 00 00 
3,Receive,05:30:54.044.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
4,Receive,05:30:54.044.0,0x00000600,Data,Standard,0x08,25 09 50 a5 ff c2 e4 00 
5,Receive,05:30:54.044.0,0x0000032f,Data,Standard,0x08,50 41 33 30 30 30 30 31 
6,Receive,05:30:54.044.0,0x0000032e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
7,Receive,05:30:54.044.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,05:30:54.044.0,0x00000600,Data,Standard,0x08,35 19 50 a5 ff c2 e4 00 
9,Receive,05:30:54.060.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
10,Receive,05:30:54.060.0,0x00000600,Data,Standard,0x08,05 29 50 a5 ff c2 e4 00 
11,Receive,05:30:54.060.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Receive,05:30:54.060.0,0x00000600,Data,Standard,0x08,15 39 50 a5 ff c2 e4 00 
13,Receive,05:30:54.075.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
14,Receive,05:30:54.075.0,0x00000600,Data,Standard,0x08,65 49 50 a5 ff c2 e4 00 
15,Receive,05:30:54.091.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
16,Receive,05:30:54.091.0,0x00000600,Data,Standard,0x08,75 59 50 a5 ff c2 e4 00 
17,Receive,05:30:54.091.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
18,Receive,05:30:54.091.0,0x00000600,Data,Standard,0x08,45 69 50 a5 ff c2 e4 00 
19,Receive,05:30:54.107.0,0x00000608,Data,Standard,0x08,00 00 00 00 00 00 00 00 
20,Receive,05:30:54.107.0,0x00000600,Data,Standard,0x08,55 79 50 a5 ff c2 e4 00 
21,Receive,05:30:54.107.0,0x00000601,Data,Standard,0x08,5e b9 20 00 00 00 3f f8 
22,Receive,05:30:54.107.0,0x00000602,Data,Standard,0x08,78 b6 40 00 00 00 03 8d 
