Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,729.3037,Branch_Insulation,0CFFB6F3,00FFB6,F3,--,Extend,Data frm,08,10 27 10 27 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Insulation_value,10000kOhm,--,,2710,0,16,1,0,,
,Branch2_Insulation_value,10000kOhm,--,,2710,16,16,1,0,,
,Branch1_Insulation_Fault,0,No Fault,,0,48,2,1,0,,
,Branch2_Insulation_Fault,0,No Fault,,0,50,2,1,0,,
,KWH_Consumption_Chrg,0KWH,--,,0,54,10,1,0,,
2,Receive,729.3040,BMS_Pack_Branch1_Cell_Voltages,0CFF42F3,00FF42,F3,--,Extend,Data frm,08,04 9D E9 4C E7 39 CF 19 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Mux_Voltage_Counter,2Counter,--,,2,0,6,1,0,,
,Branch1_Cell_Voltage_N,3.302Volt,--,,673,6,11,0.002,0,,
,Branch1_Cell_Voltage_N_plus_1,3.302Volt,--,,673,17,11,0.002,0,,
,Branch1_Cell_Voltage_N_plus_2,3.302Volt,--,,673,28,11,0.002,0,,
,Branch1_Cell_Voltage_N_plus_3,3.302Volt,--,,673,39,11,0.002,0,,
,Branch1_Cell_Voltage_N_plus_4,3.302Volt,--,,673,50,11,0.002,0,,
3,Receive,729.3042,BMS_Pack_Branch2_Cell_Voltages,0CFF43F3,00FF43,F3,--,Extend,Data frm,08,04 9D E9 4C 67 3A CF 19 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch2_Mux_Voltage_Counter,16Counter,--,,10,0,6,1,0,,
,Branch2_Cell_Voltage_N,3.302Volt,--,,673,6,11,0.002,0,,
,Branch2_Cell_Voltage_N_plus_1,3.304Volt,--,,674,17,11,0.002,0,,
,Branch2_Cell_Voltage_N_plus_2,3.302Volt,--,,673,28,11,0.002,0,,
,Branch2_Cell_Voltage_N_plus_3,3.304Volt,--,,674,39,11,0.002,0,,
,Branch2_Cell_Voltage_N_plus_4,3.304Volt,--,,674,50,11,0.002,0,,
4,Receive,729.3045,BMS_Pack_Status1,0CFF8DF3,00FF8D,F3,--,Extend,Data frm,08,28 C9 CC 00 00 14 80 20 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Bms_ChgST,0,not chargin,,0,0,2,1,0,,
,Emergency_Power_Off,0,OF,,0,2,1,1,0,,
,HVIL_Monitoring_Status,1,O,,1,3,1,1,0,,
,Pack_Ready,0,Pack Not Read,,0,4,1,1,0,,
,ReqHVpoweronoff,1,HV Off Reques,,1,5,2,1,0,,
,Emergency_Chrg_Ack_Flag,0,No Emergency Charging flag,,0,7,1,1,0,,
,BMS_Cooling_Request,1,Cooling required,,1,8,1,1,0,,
,BMS_Insulation_Ack_Flag,0,Insulation Diabled,,0,9,1,1,0,,
,HVBranchNum,2,--,,2,10,2,1,0,,
,SingleHVBranchCellNum,204,--,,CC,12,8,1,0,,
,SingleHVBranch_Temp_Num,12,--,,C,20,8,1,0,,
,Br1_Charging_done_flag,0,--,,0,28,1,1,0,,
,Br2_Charging_done_flag,0,--,,0,29,1,1,0,,
,Wake_up_Signal,1,WakeUpByKey,,1,42,2,1,0,,
,BMS_Contactor_Status,1,Close,,1,44,2,1,0,,
,Pack_Lockout,0,No Pack lockout,,0,46,2,1,0,,
,BMSworkstatus,0,Initializing,,0,48,4,1,0,,
,BMS_ALIV,8,--,,8,52,4,1,0,,
,Counter,0,--,,0,56,4,1,0,,
,CRC,2,--,,2,60,4,1,0,,
5,Receive,729.3138,BMS_Pack_Disch_Current_Limits,0CFFF0F3,00FFF0,F3,--,Extend,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Peak_Disch_Curr_10s_Limit,0A,--,,0,0,12,0.25,0,,
,Peak_Regen_Curr_10s_Limit,0A,--,,0,12,12,0.25,0,,
,Peak_Disch_Curr_30s_Limit,0A,--,,0,24,12,0.25,0,,
,Peak_Regen_Curr_30s_Limit,0A,--,,0,36,12,0.25,0,,
,Cont_Disch_Curr_Limit,0A,--,,0,48,12,0.25,0,,
6,Receive,729.3141,BMS_Pack_Status2,0CFF8EF3,00FF8E,F3,--,Extend,Data frm,08,1B 3C 1F 00 28 2A 20 30 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BAT1PosRelay_Status,1,close,,1,0,1,1,0,,
,BAT2PosRelay_Status,1,close,,1,1,1,1,0,,
,HVPosRelay_Status,1,close,,1,3,1,1,0,,
,HVNegRelay_Status,1,close,,1,4,1,1,0,,
,HVPreRelay_Status,0,open,,0,5,1,1,0,,
,CHG_1_PosRelay_Status,0,open,,0,6,1,1,0,,
,CHG_2_PosRelay_Status,0,open,,0,7,1,1,0,,
,CHG_1_negRelay_Status,0,open,,0,8,1,1,0,,
,CHG_2_negRelay_Status,0,open,,0,9,1,1,0,,
,Pack_Curr_Value,-0.5,--,,7CF,10,16,0.5,-1000,,
,Pack_Voltage_Value,674.5,--,,A8A,34,16,0.25,0,,
,E2P_Fault_Event_Status,0,No Data Transfer in Process,,0,50,2,1,0,,
,BatFltLvl,2,--,,2,52,4,1,0,,
,Counter,0,--,,0,56,4,1,0,,
,CRC,3,--,,3,60,4,1,0,,
7,Receive,729.3144,Branch_Current,18FFB2F3,00FFB2,F3,--,Extend,Data frm,08,78 75 57 00 80 E0 E2 02 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,Branch1_Current,0A,--,,578,0,12,0.5,-700,,
,Branch2_Current,-0.5A,--,,577,12,12,0.5,-700,,
,V2_Voltage_Sensing_Point,0.8Volt,--,,8,36,8,0.1,0,,
,CHG1_Volage_C1V5,4.600000000000001Volt,--,,2E,44,8,0.1,0,,
,CHG2_Volage_C2V5,4.600000000000001Volt,--,,2E,52,8,0.1,0,,
8,Receive,729.2938,BMS_Pack_Flt1,0CFF84F3,00FF84,F3,--,Extend,Data frm,08,00 00 00 00 00 00 00 04 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,BMS_CellTempDiffOverAlarm,0,No Fault,,0,0,2,1,0,,
