Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,12:36:16.929.0,0x0cffb3f3,Data,Extend,0x08,e9 cc 9c 85 04 0c 00 00 
1,Receive,12:36:16.929.0,0x0cffb4f3,Data,Extend,0x08,e9 ac 9c 09 04 0c 00 00 
2,Receive,12:36:16.936.0,0x0cffb6f3,Data,Extend,0x08,10 27 10 27 00 00 00 00 
3,Receive,12:36:16.936.0,0x0cff42f3,Data,Extend,0x08,23 9d e9 4c 67 3a d3 19 
4,Receive,12:36:16.938.0,0x0cff43f3,Data,Extend,0x08,23 9d e7 3c 67 3a d3 19 
5,Receive,12:36:16.938.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 00 00 
6,Receive,12:36:16.947.0,0x0cfff0f3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
7,Receive,12:36:16.947.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 30 
8,Receive,12:36:16.949.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
9,Receive,12:36:16.977.0,0x0cff47f3,Data,Extend,0x08,5a 1a 59 1a 00 00 04 00 
10,Receive,12:36:16.977.0,0x0cff86f3,Data,Extend,0x08,51 4d 8b 40 40 9c 20 4e 
11,Receive,12:36:16.987.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 10 31 
12,Receive,12:36:16.987.0,0x0cff42f3,Data,Extend,0x08,24 9d e7 4c 67 3a d3 19 
13,Receive,12:36:16.987.0,0x0cff43f3,Data,Extend,0x08,24 9d e7 4c e7 39 cf 19 
14,Receive,12:36:16.996.0,0x0cff8ef3,Data,Extend,0x08,1b 40 1f 00 28 2a 20 11 
15,Receive,12:36:16.998.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
16,Receive,12:36:17.028.0,0x0cff84f3,Data,Extend,0x08,00 00 00 00 00 00 00 51 
17,Receive,12:36:17.028.0,0x0cff48f3,Data,Extend,0x08,00 00 00 00 5e 64 00 00 
18,Receive,12:36:17.028.0,0x0cff82f3,Data,Extend,0x08,00 b0 24 30 9c 00 00 51 
19,Receive,12:36:17.028.0,0x0cff83f3,Data,Extend,0x08,00 00 00 00 80 00 00 21 
20,Receive,12:36:17.028.0,0x0cffaef3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
21,Receive,12:36:17.030.0,0x0cffaff3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
22,Receive,12:36:17.030.0,0x0cffb3f3,Data,Extend,0x08,e9 cc 9c 85 04 0c 00 00 
23,Receive,12:36:17.030.0,0x0cffb4f3,Data,Extend,0x08,e9 ac 9c 09 04 0c 00 00 
24,Receive,12:36:17.037.0,0x0cffb6f3,Data,Extend,0x08,10 27 10 27 00 00 00 00 
25,Receive,12:36:17.037.0,0x0cff42f3,Data,Extend,0x08,25 9d e9 4c 67 3a d3 19 
26,Receive,12:36:17.037.0,0x0cff43f3,Data,Extend,0x08,25 9d e9 4c 67 3a cf 19 
27,Receive,12:36:17.037.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 20 62 
28,Receive,12:36:17.046.0,0x0cfff0f3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
29,Receive,12:36:17.048.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 52 
30,Receive,12:36:17.048.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
31,Receive,12:36:17.087.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 30 23 
32,Receive,12:36:17.087.0,0x0cff42f3,Data,Extend,0x08,26 9d e7 3c 67 3a d3 19 
33,Receive,12:36:17.087.0,0x0cff43f3,Data,Extend,0x08,e6 9c e9 4c e7 39 d3 19 
34,Receive,12:36:17.097.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 63 
35,Receive,12:36:17.097.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
36,Receive,12:36:17.127.0,0x0cff84f3,Data,Extend,0x08,00 00 00 00 00 00 00 62 
37,Receive,12:36:17.127.0,0x0cff48f3,Data,Extend,0x08,00 00 00 00 5e 64 00 00 
38,Receive,12:36:17.129.0,0x0cff82f3,Data,Extend,0x08,00 b0 24 30 9c 00 00 62 
39,Receive,12:36:17.129.0,0x0cff83f3,Data,Extend,0x08,00 00 00 00 80 00 00 32 
40,Receive,12:36:17.129.0,0x0cffaef3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
41,Receive,12:36:17.129.0,0x0cffaff3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
42,Receive,12:36:17.129.0,0x0cffb3f3,Data,Extend,0x08,e9 cc 9c 85 04 0c 00 00 
43,Receive,12:36:17.129.0,0x0cffb4f3,Data,Extend,0x08,e9 ac 9c 15 04 0c 00 00 
44,Receive,12:36:17.137.0,0x0cffb6f3,Data,Extend,0x08,10 27 10 27 00 00 00 00 
45,Receive,12:36:17.137.0,0x0cff42f3,Data,Extend,0x08,27 9d e9 4c 67 3a d3 19 
46,Receive,12:36:17.137.0,0x0cff43f3,Data,Extend,0x08,e7 9c e7 3c 67 3a d3 19 
47,Receive,12:36:17.137.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 40 64 
48,Receive,12:36:17.146.0,0x0cfff0f3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
49,Receive,12:36:17.147.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 04 
50,Receive,12:36:17.147.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
51,Receive,12:36:17.187.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 50 15 
52,Receive,12:36:17.187.0,0x0cff42f3,Data,Extend,0x08,28 9d e9 4c e7 39 cf 19 
53,Receive,12:36:17.189.0,0x0cff43f3,Data,Extend,0x08,28 9d e9 4c e7 39 cf 19 
54,Receive,12:36:17.197.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 15 
55,Receive,12:36:17.197.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
56,Receive,12:36:17.227.0,0x0cff47f3,Data,Extend,0x08,5a 1a 58 1a 02 00 02 00 
57,Receive,12:36:17.227.0,0x0cff48f3,Data,Extend,0x08,00 00 00 00 5e 64 00 00 
58,Receive,12:36:17.227.0,0x0cff4ef3,Data,Extend,0x08,59 9a 96 06 00 00 00 00 
59,Receive,12:36:17.229.0,0x0cff82f3,Data,Extend,0x08,00 b0 24 30 9c 00 00 73 
60,Receive,12:36:17.229.0,0x0cff83f3,Data,Extend,0x08,00 00 00 00 80 00 00 43 
61,Receive,12:36:17.229.0,0x0cff84f3,Data,Extend,0x08,00 00 00 00 00 00 00 73 
62,Receive,12:36:17.229.0,0x0cff85f3,Data,Extend,0x08,e9 ac 9c 85 40 33 00 37 
63,Receive,12:36:17.229.0,0x0cff86f3,Data,Extend,0x08,51 4d 8b 40 40 9c 20 4e 
64,Receive,12:36:17.229.0,0x0cff87f3,Data,Extend,0x08,55 5a 95 06 00 9c 03 c8 
65,Receive,12:36:17.229.0,0x0cff8ff3,Data,Extend,0x08,14 14 14 05 0a 8a 02 17 
66,Receive,12:36:17.229.0,0x0cffaef3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
67,Receive,12:36:17.231.0,0x0cffaff3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
68,Receive,12:36:17.231.0,0x18ff4af3,Data,Extend,0x08,4a 4a 4a 4a 4a 4b 4b 4b 
69,Receive,12:36:17.231.0,0x18ff4cf3,Data,Extend,0x08,00 00 00 00 4c 4a 64 00 
70,Receive,12:36:17.236.0,0x0cffb3f3,Data,Extend,0x08,e9 cc 9c 85 04 0c 00 00 
71,Receive,12:36:17.236.0,0x0cff42f3,Data,Extend,0x08,29 9d e9 3c e7 39 03 00 
72,Receive,12:36:17.238.0,0x0cff43f3,Data,Extend,0x08,29 9d e9 3c 67 39 03 00 
73,Receive,12:36:17.238.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 60 56 
74,Receive,12:36:17.238.0,0x0cffb4f3,Data,Extend,0x08,e9 ac 9c 15 04 0c 00 00 
75,Receive,12:36:17.238.0,0x0cffb6f3,Data,Extend,0x08,10 27 10 27 00 00 00 00 
76,Receive,12:36:17.247.0,0x0cfff0f3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
77,Receive,12:36:17.247.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 26 
78,Receive,12:36:17.247.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
79,Send,12:36:17.279.0,0x0cff0001,Data,Extend,0x08,0d 06 00 00 00 00 00 00 
80,Receive,12:36:17.287.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 70 07 
81,Receive,12:36:17.287.0,0x0cff42f3,Data,Extend,0x08,c1 9c e9 4c 67 3a cf 19 
82,Receive,12:36:17.287.0,0x0cff43f3,Data,Extend,0x08,81 9c e9 3c 67 3a d3 19 
83,Receive,12:36:17.297.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 37 
84,Receive,12:36:17.297.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
85,Receive,12:36:17.328.0,0x0cff84f3,Data,Extend,0x08,00 00 00 00 00 00 00 04 
86,Receive,12:36:17.328.0,0x0cff48f3,Data,Extend,0x08,00 00 00 00 5e 64 00 00 
87,Receive,12:36:17.328.0,0x0cff82f3,Data,Extend,0x08,00 b0 24 30 9c 00 00 04 
88,Receive,12:36:17.328.0,0x0cff83f3,Data,Extend,0x08,00 00 00 00 80 00 00 54 
89,Receive,12:36:17.328.0,0x0cffaef3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
90,Receive,12:36:17.328.0,0x0cffaff3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
91,Receive,12:36:17.328.0,0x0cffb3f3,Data,Extend,0x08,e9 cc 9c 85 04 0c 00 00 
92,Receive,12:36:17.330.0,0x0cffb4f3,Data,Extend,0x08,e9 ac 9c 15 04 0c 00 00 
93,Receive,12:36:17.336.0,0x0cffb6f3,Data,Extend,0x08,10 27 10 27 00 00 00 00 
94,Receive,12:36:17.336.0,0x0cff42f3,Data,Extend,0x08,02 9d e7 3c e7 39 d3 19 
95,Receive,12:36:17.339.0,0x0cff43f3,Data,Extend,0x08,02 9d e9 4c 67 3a d3 19 
96,Receive,12:36:17.339.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 80 20 
97,Receive,12:36:17.348.0,0x0cfff0f3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
98,Receive,12:36:17.348.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 24 2a 20 70 
99,Receive,12:36:17.348.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
100,Receive,12:36:17.387.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 90 51 
101,Receive,12:36:17.387.0,0x0cff42f3,Data,Extend,0x08,03 9d e7 3c e7 39 d3 19 
102,Receive,12:36:17.387.0,0x0cff43f3,Data,Extend,0x08,c3 9c e9 4c 67 3a d3 19 
103,Receive,12:36:17.396.0,0x0cff8ef3,Data,Extend,0x08,1b 3c 1f 00 28 2a 20 41 
104,Receive,12:36:17.396.0,0x18ffb2f3,Data,Extend,0x08,78 75 57 00 80 e0 e2 02 
105,Receive,12:36:17.427.0,0x0cff84f3,Data,Extend,0x08,00 00 00 00 00 00 00 15 
106,Receive,12:36:17.427.0,0x0cff48f3,Data,Extend,0x08,00 00 00 00 5e 64 00 00 
107,Receive,12:36:17.427.0,0x0cff82f3,Data,Extend,0x08,00 b0 24 30 9c 00 00 15 
108,Receive,12:36:17.427.0,0x0cff83f3,Data,Extend,0x08,00 00 00 00 80 00 00 65 
109,Receive,12:36:17.427.0,0x0cffaef3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
110,Receive,12:36:17.427.0,0x0cffaff3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
111,Receive,12:36:17.430.0,0x0cffb3f3,Data,Extend,0x08,e9 cc 9c 85 04 0c 00 00 
112,Receive,12:36:17.430.0,0x0cffb4f3,Data,Extend,0x08,e9 ac 9c 15 04 0c 00 00 
113,Receive,12:36:17.437.0,0x0cffb6f3,Data,Extend,0x08,10 27 10 27 00 00 00 00 
114,Receive,12:36:17.437.0,0x0cff42f3,Data,Extend,0x08,04 9d e7 4c e7 39 cf 19 
115,Receive,12:36:17.437.0,0x0cff43f3,Data,Extend,0x08,04 9d e9 4c e7 39 d3 19 
116,Receive,12:36:17.437.0,0x0cff8df3,Data,Extend,0x08,28 c9 cc 00 00 14 a0 02 
117,Receive,12:36:17.447.0,0x0cfff0f3,Data,Extend,0x08,00 00 00 00 00 00 00 00 
