Index,Direction,Timesteamp,Name,ID,PGN(H),Addr Src(H),Addr Dst(H),Format,Type,Length,Data,Comment,
1,Receive,55877.1863,BMS1_ACTIVE_10,00000101,--,--,--,Standard,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_Active_Ack,0,--,,0,0,64,1,0,,
2,Receive,55877.1863,BMS5_10,0000012B,--,--,--,Standard,Data frm,08,01 15 0E 44 00 00 8E 4C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_BattContactorDisconnect_,1,Request to command,,1,0,1,1,0,,
,ESS_BMS_BattCooling_Sts_B,0,Battery Cooling not active,,0,1,1,1,0,,
,ESS_BMS_BattCooling_Req_B,0,No request,,0,2,1,1,0,,
,ESS_BMS_ContctrDisconnected_Info,0,Default/No Disconect by BMS,,0,3,1,1,0,,
,ESS_BMS_ChargingStopReason_enum,0,No request,,0,4,4,1,0,,
,ESS_BMS_BattContactor_Sts_enum,1,Contactor closed,,1,8,2,1,0,,
,ESS_BMS_NegativeContactor_Sts_en,1,Contactor closed,,1,10,2,1,0,,
,ESS_BMS_PositiveContactor_Sts_en,1,Contactor closed,,1,12,2,1,0,,
,ESS_BMS_PrechargeContactor_Sts_e,0,Contactor open(default),,0,14,2,1,0,,
,ESS_BMS_ChargingStop_Req_B,0,No request to stop charging (default),,0,16,1,1,0,,
,ESS_BMS_NegCntctrGPIOVltg_V,0.7000000000000001V,--,,7,17,6,0.1,0,,
,ESS_BMS_ShuntTemp_degC,28degC,--,,44,24,8,1,-40,,
,ESS_BMS_OperatingMode_enum,14,Reserved,,E,48,4,1,0,,
,ESS_BMS_Counter12B_Val,8NA,--,,8,52,4,1,0,,
,ESS_BMS_Checksum12B_Out,76NA,--,,4C,56,8,1,0,,
3,Receive,55877.1863,BMS6_10,00000150,--,--,--,Standard,Data frm,08,F9 0D F7 0D 70 17 80 91 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_BattPackVoltage_Act_V,357.7000000000001V,--,,DF9,0,14,0.1,0,,
,ESS_BMS_BattBusVoltage_Act_V,357.5V,--,,DF7,16,14,0.1,0,,
,ESS_BMS_BattPackCurrent_Act_A,6000,Default Value,,1770,32,14,0.1,-600,,
,ESS_BMS_Counter150_Val,8NA,--,,8,52,4,1,0,,
,ESS_BMS_Checksum150_Out,145NA,--,,91,56,8,1,0,,
4,Receive,55877.1863,BMS7_20,00000272,--,--,--,Standard,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_PCK_DischrgCurrentlimit_Act_,0,Default value,,0,0,14,0.1,0,,
,ESS_PCK_ChargeCurrentLimit_Act_A,0,Default value,,0,14,14,0.1,0,,
,ESS_PCK_ChargeVoltageLimit_Act_V,0V,--,,0,28,14,0.1,0,,
,ESS_PCK_RegenCurrentLimit_Act_A,0,Default,,0,48,14,0.1,0,,
5,Receive,55877.1863,BMS8_100,00000339,--,--,--,Standard,Data frm,08,00 00 00 00 00 00 00 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_PCK_PeakDischrgPowerAvail_Ac,0,Default Value,,0,0,16,0.01,0,,
,ESS_PCK_ContDischrgPowerAvail_Ac,0,Default value,,0,16,16,0.01,0,,
,ESS_PCK_PeakRegenPowerAvail_Act_,0,Default value,,0,32,16,0.01,0,,
,ESS_PCK_ContRegenPowerAvail_Act_,0,Default value,,0,48,16,0.01,0,,
6,Receive,55877.1863,BMS11_100,000003D2,--,--,--,Standard,Data frm,08,10 27 74 44 43 78 03 00 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_IsolationResistance_Act_,10000kOhms,--,,2710,0,14,1,0,,
,ESS_BMS_CellBalancing_Sts_enum,0,Cell balancing not active/Default,,0,15,1,1,0,,
,ESS_BMS_KL15Voltage_V,12.1V,--,,79,16,8,0.1,0,,
,ESS_BMS_BattInletCoolantTemp_deg,28deg C,--,,44,24,8,1,-40,,
,ESS_BMS_BattOutletCoolantTemp_de,28deg C,--,,44,32,8,1,-40,,
,ESS_BMS_PCBTemp_degC,32.2degC,--,,368,40,12,0.1,-55,,
,ESS_BMS_BattPackCycleNum_Value,0,--,,0,52,12,1,0,,
7,Receive,55877.1863,BMS10_100,000003D3,--,--,--,Standard,Data frm,08,A5 72 AD 52 A9 12 46 18 ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_BattTemp_Min_degC,27.7deg C,--,,2A5,0,12,0.1,-40,,
,ESS_BMS_MinCellTemp_No,7,--,,7,12,4,1,0,,
,ESS_BMS_BattTemp_Max_degC,28.5deg C,--,,2AD,16,12,0.1,-40,,
,ESS_BMS_MaxCellTemp_No,5,--,,5,28,4,1,0,,
,ESS_BMS_BattTemp_Avg_degC,28.10000000000001deg C,--,,2A9,32,12,0.1,-40,,
,ESS_BMS_MaxCellSOC_Perc,9.700000000000001%,--,,61,44,10,0.1,0,,
,ESS_BMS_MinCellSOC_Perc,9.700000000000001%,--,,61,54,10,0.1,0,,
8,Receive,55877.1863,BMS12_100,000003E8,--,--,--,Standard,Data frm,08,61 00 32 00 E8 87 E1 1E ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_BattPackAbsoluteSOC_Perc,9.700000000000001%,--,,61,0,10,0.1,0,,
,ESS_BMS_BattPackRelativeSOC_Perc,5%,--,,32,16,10,0.1,0,,
,ESS_BMS_BattPackSOH_Act_Perc,100%,--,,3E8,32,10,0.1,0,,
,ESS_BMS_BattPackDisplaySOC_Perc,9.700000000000001%,--,,61,42,10,0.1,0,,
,ESS_BMS_Counter3E8_Val,6NA,--,,6,52,4,1,0,,
,ESS_BMS_Checksum3E8_Out,56NA,--,,38,56,8,1,0,,
9,Receive,55877.1863,BMS13_100,000003E9,--,--,--,Standard,Data frm,08,94 0C 98 0C 4A 09 96 0C ,,
,Name,Physical value,Description,Comment,Raw value(H),StartBit,BitWidth,Factor,Offset,,
,ESS_BMS_BattCellVoltage_Min_V,3220mV,--,,C94,0,14,1,0,,
,ESS_BMS_BattCellVoltage_Max_V,3224mV,--,,C98,16,14,1,0,,
,ESS_BMS_MinCellVoltage_No,86,--,,56,32,7,1,0,,
,ESS_BMS_MaxCellVoltage_No,16,--,,10,40,7,1,0,,
,ESS_BMS_BattCellVoltage_Avg_V,3222mV,--,,C96,48,14,1,0,,
10,Receive,55877.1863,BMS14_100,000003EA,--,--,--,Standard,Data frm,08,4A 02 14 00 00 00 00 00 ,,
