Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,12:03:48.636.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
1,Receive,12:03:48.636.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 0e d0 
2,Receive,12:03:48.637.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 00 f9 
3,Send,12:03:48.643.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
4,Receive,12:03:48.647.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,12:03:48.647.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 1e 1d 
6,Receive,12:03:48.647.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 10 34 
7,Receive,12:03:48.647.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
8,Receive,12:03:48.647.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
9,Receive,12:03:48.647.0,0x000003d2,Data,Standard,0x08,10 27 74 46 46 91 03 00 
10,Receive,12:03:48.649.0,0x000003d3,Data,Standard,0x08,a6 52 b0 72 aa 02 0a 28 
11,Receive,12:03:48.649.0,0x000003e8,Data,Standard,0x08,a0 00 73 00 e8 83 c2 44 
12,Receive,12:03:48.649.0,0x000003e9,Data,Standard,0x08,d1 0c d5 0c 26 35 d2 0c 
13,Receive,12:03:48.649.0,0x000003ea,Data,Standard,0x08,c0 03 22 00 00 00 00 00 
14,Receive,12:03:48.649.0,0x000003eb,Data,Standard,0x08,02 00 14 03 0a 03 0f 03 
15,Receive,12:03:48.649.0,0x000003ec,Data,Standard,0x08,04 52 48 21 85 14 52 00 
16,Receive,12:03:48.649.0,0x000005cd,Data,Standard,0x08,00 00 00 00 06 23 54 00 
17,Send,12:03:48.655.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
18,Receive,12:03:48.657.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Receive,12:03:48.657.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 2e 57 
20,Receive,12:03:48.657.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 20 7e 
21,Receive,12:03:48.666.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
22,Send,12:03:48.667.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
23,Receive,12:03:48.668.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 3e 9a 
24,Receive,12:03:48.668.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 30 b3 
25,Receive,12:03:48.668.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
26,Receive,12:03:48.668.0,0x000005c3,Data,Standard,0x08,01 00 71 70 00 01 05 00 
27,Receive,12:03:48.677.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
28,Receive,12:03:48.677.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 4e c3 
29,Receive,12:03:48.677.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 40 ea 
30,Send,12:03:48.679.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
31,Receive,12:03:48.687.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
32,Receive,12:03:48.687.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 5e 0e 
33,Receive,12:03:48.687.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 50 27 
34,Receive,12:03:48.687.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
35,Send,12:03:48.691.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
36,Receive,12:03:48.697.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
37,Receive,12:03:48.697.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 6e 44 
38,Receive,12:03:48.697.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 60 6d 
39,Send,12:03:48.703.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
40,Receive,12:03:48.707.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
41,Receive,12:03:48.707.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 7e 89 
42,Receive,12:03:48.707.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 70 a0 
43,Receive,12:03:48.707.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
44,Send,12:03:48.715.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
45,Receive,12:03:48.716.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
46,Receive,12:03:48.716.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 8e f6 
47,Receive,12:03:48.718.0,0x00000150,Data,Standard,0x08,3d 0e 3d 0e 6f 17 80 76 
48,Receive,12:03:48.727.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
49,Receive,12:03:48.727.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 9e 3b 
50,Receive,12:03:48.727.0,0x00000150,Data,Standard,0x08,3d 0e 3d 0e 6f 17 90 bb 
51,Send,12:03:48.727.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
52,Receive,12:03:48.729.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
53,Receive,12:03:48.737.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
54,Receive,12:03:48.737.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 ae 71 
55,Receive,12:03:48.737.0,0x00000150,Data,Standard,0x08,3e 0e 3c 0e 6f 17 a0 7c 
56,Send,12:03:48.739.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
57,Receive,12:03:48.746.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
58,Receive,12:03:48.746.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 be bc 
59,Receive,12:03:48.746.0,0x00000150,Data,Standard,0x08,3e 0e 3c 0e 6f 17 b0 b1 
60,Receive,12:03:48.746.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
61,Receive,12:03:48.746.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
62,Receive,12:03:48.747.0,0x000003d2,Data,Standard,0x08,10 27 74 46 46 91 03 00 
63,Receive,12:03:48.747.0,0x000003d3,Data,Standard,0x08,a6 52 b0 72 aa 02 0a 28 
64,Receive,12:03:48.747.0,0x000003e8,Data,Standard,0x08,a0 00 73 00 e8 83 d2 89 
65,Receive,12:03:48.747.0,0x000003e9,Data,Standard,0x08,d1 0c d4 0c 4a 14 d2 0c 
66,Receive,12:03:48.749.0,0x000003ea,Data,Standard,0x08,c0 03 22 00 00 00 00 00 
67,Receive,12:03:48.749.0,0x000003eb,Data,Standard,0x08,00 00 12 03 0c 03 0c 03 
68,Receive,12:03:48.749.0,0x000003ec,Data,Standard,0x08,05 52 48 21 85 14 52 00 
69,Receive,12:03:48.749.0,0x000005cd,Data,Standard,0x08,00 00 00 00 06 23 54 00 
70,Send,12:03:48.749.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
71,Receive,12:03:48.757.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
72,Receive,12:03:48.757.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 ce e5 
73,Receive,12:03:48.757.0,0x00000150,Data,Standard,0x08,3e 0e 3c 0e 6f 17 c0 e8 
74,Send,12:03:48.762.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
75,Receive,12:03:48.768.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
76,Receive,12:03:48.768.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 de 28 
77,Receive,12:03:48.768.0,0x00000150,Data,Standard,0x08,3e 0e 3c 0e 6f 17 d0 25 
78,Receive,12:03:48.768.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
79,Receive,12:03:48.768.0,0x000005c3,Data,Standard,0x08,01 00 71 70 00 01 05 00 
80,Send,12:03:48.774.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
81,Receive,12:03:48.776.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
82,Receive,12:03:48.777.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 ee 62 
83,Receive,12:03:48.777.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 e0 4b 
84,Send,12:03:48.785.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
85,Receive,12:03:48.787.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
86,Receive,12:03:48.787.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 fe af 
87,Receive,12:03:48.787.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 f0 86 
88,Receive,12:03:48.787.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
89,Receive,12:03:48.795.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
90,Send,12:03:48.796.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
91,Receive,12:03:48.797.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 0e d0 
92,Receive,12:03:48.797.0,0x00000150,Data,Standard,0x08,3c 0e 3c 0e 70 17 00 f9 
93,Receive,12:03:48.807.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
94,Receive,12:03:48.807.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 1e 1d 
95,Receive,12:03:48.807.0,0x00000150,Data,Standard,0x08,3d 0e 3c 0e 70 17 10 69 
96,Receive,12:03:48.807.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
97,Send,12:03:48.807.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
98,Receive,12:03:48.817.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
99,Receive,12:03:48.817.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 2e 57 
100,Receive,12:03:48.817.0,0x00000150,Data,Standard,0x08,3d 0e 3c 0e 70 17 20 23 
101,Send,12:03:48.818.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
102,Receive,12:03:48.827.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
103,Receive,12:03:48.827.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 3e 9a 
104,Receive,12:03:48.827.0,0x00000150,Data,Standard,0x08,3d 0e 3c 0e 70 17 30 ee 
105,Receive,12:03:48.827.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
106,Send,12:03:48.829.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
107,Receive,12:03:48.837.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
108,Receive,12:03:48.837.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 4e c3 
109,Receive,12:03:48.837.0,0x00000150,Data,Standard,0x08,3d 0e 3c 0e 70 17 40 b7 
110,Send,12:03:48.840.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
111,Receive,12:03:48.846.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
112,Receive,12:03:48.846.0,0x0000012b,Data,Standard,0x08,01 15 0e 47 00 00 5e 0e 
113,Receive,12:03:48.846.0,0x00000150,Data,Standard,0x08,3d 0e 3d 0e 6f 17 50 8e 
114,Receive,12:03:48.846.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
115,Receive,12:03:48.848.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
116,Receive,12:03:48.848.0,0x000003d2,Data,Standard,0x08,10 27 74 46 46 91 03 00 
117,Receive,12:03:48.848.0,0x000003d3,Data,Standard,0x08,a6 52 b0 72 aa 02 0a 28 
118,Receive,12:03:48.848.0,0x000003e8,Data,Standard,0x08,a0 00 73 00 e8 83 e2 c3 
119,Receive,12:03:48.848.0,0x000003e9,Data,Standard,0x08,d1 0c d4 0c 01 14 d2 0c 
120,Receive,12:03:48.848.0,0x000003ea,Data,Standard,0x08,c0 03 22 00 00 00 00 00 
121,Receive,12:03:48.848.0,0x000003eb,Data,Standard,0x08,01 00 12 03 0a 03 0f 03 
122,Receive,12:03:48.848.0,0x000003ec,Data,Standard,0x08,06 52 48 21 85 14 52 00 
123,Receive,12:03:48.848.0,0x000005cd,Data,Standard,0x08,00 00 00 00 06 23 54 00 
124,Send,12:03:48.851.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
125,Receive,12:03:48.856.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
