Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,11:39:36.392.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 5e b4 
1,Receive,11:39:36.392.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 50 15 
2,Receive,11:39:36.392.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
3,Send,11:39:36.397.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
4,Receive,11:39:36.402.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,11:39:36.402.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 6e fe 
6,Receive,11:39:36.402.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 70 17 60 23 
7,Send,11:39:36.408.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
8,Receive,11:39:36.412.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
9,Receive,11:39:36.412.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 7e 33 
10,Receive,11:39:36.412.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 70 17 70 ee 
11,Receive,11:39:36.412.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
12,Send,11:39:36.419.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
13,Receive,11:39:36.422.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
14,Receive,11:39:36.422.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 8e 4c 
15,Receive,11:39:36.422.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 70 17 80 91 
16,Send,11:39:36.429.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
17,Receive,11:39:36.431.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
18,Receive,11:39:36.431.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 9e 81 
19,Receive,11:39:36.431.0,0x00000150,Data,Standard,0x08,f8 0d f7 0d 70 17 90 01 
20,Receive,11:39:36.431.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
21,Send,11:39:36.440.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
22,Receive,11:39:36.441.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
23,Receive,11:39:36.441.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ae cb 
24,Receive,11:39:36.441.0,0x00000150,Data,Standard,0x08,f8 0d f7 0d 70 17 a0 4b 
25,Receive,11:39:36.451.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
26,Receive,11:39:36.451.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 be 06 
27,Receive,11:39:36.451.0,0x00000150,Data,Standard,0x08,f8 0d f7 0d 70 17 b0 86 
28,Receive,11:39:36.451.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
29,Send,11:39:36.451.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
30,Receive,11:39:36.461.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
31,Receive,11:39:36.461.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ce 5f 
32,Receive,11:39:36.461.0,0x00000150,Data,Standard,0x08,f8 0d f7 0d 70 17 c0 df 
33,Send,11:39:36.462.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
34,Receive,11:39:36.471.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
35,Receive,11:39:36.471.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 de 92 
36,Receive,11:39:36.471.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 d0 ad 
37,Receive,11:39:36.471.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
38,Receive,11:39:36.471.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
39,Receive,11:39:36.471.0,0x000003d2,Data,Standard,0x08,10 27 73 44 44 60 03 00 
40,Receive,11:39:36.473.0,0x000003d3,Data,Standard,0x08,a3 92 a9 22 a6 12 46 18 
41,Receive,11:39:36.473.0,0x000003e8,Data,Standard,0x08,61 00 32 00 e8 87 a1 0d 
42,Receive,11:39:36.473.0,0x000003e9,Data,Standard,0x08,94 0c 98 0c 15 0d 96 0c 
43,Receive,11:39:36.473.0,0x000003ea,Data,Standard,0x08,4a 02 14 00 00 00 00 00 
44,Receive,11:39:36.473.0,0x000003eb,Data,Standard,0x08,02 00 0a 03 0b 03 07 03 
45,Receive,11:39:36.473.0,0x000003ec,Data,Standard,0x08,80 50 42 09 25 94 50 00 
46,Receive,11:39:36.473.0,0x000005c3,Data,Standard,0x08,01 00 70 70 00 01 05 00 
47,Receive,11:39:36.473.0,0x000005cd,Data,Standard,0x08,40 00 00 00 06 03 29 00 
48,Send,11:39:36.473.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
49,Receive,11:39:36.481.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
50,Receive,11:39:36.481.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ee d8 
51,Receive,11:39:36.481.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 e0 e7 
52,Send,11:39:36.484.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
53,Receive,11:39:36.491.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
54,Receive,11:39:36.491.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 fe 15 
55,Receive,11:39:36.491.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 f0 2a 
56,Receive,11:39:36.491.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
57,Send,11:39:36.495.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
58,Receive,11:39:36.501.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
59,Receive,11:39:36.501.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 0e 6a 
60,Receive,11:39:36.501.0,0x00000150,Data,Standard,0x08,fa 0d f9 0d 6f 17 00 d8 
61,Send,11:39:36.506.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
62,Receive,11:39:36.511.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
63,Receive,11:39:36.511.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 1e a7 
64,Receive,11:39:36.511.0,0x00000150,Data,Standard,0x08,fa 0d f9 0d 6f 17 10 15 
65,Receive,11:39:36.511.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
66,Send,11:39:36.518.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
67,Receive,11:39:36.521.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
68,Receive,11:39:36.521.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 2e ed 
69,Receive,11:39:36.521.0,0x00000150,Data,Standard,0x08,fa 0d f9 0d 6f 17 20 5f 
70,Send,11:39:36.530.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
71,Receive,11:39:36.531.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
72,Receive,11:39:36.531.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 3e 20 
73,Receive,11:39:36.531.0,0x00000150,Data,Standard,0x08,fa 0d f9 0d 6f 17 30 92 
74,Receive,11:39:36.531.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
75,Receive,11:39:36.541.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
76,Receive,11:39:36.541.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 4e 79 
77,Receive,11:39:36.541.0,0x00000150,Data,Standard,0x08,fa 0d f8 0d 6f 17 40 a1 
78,Send,11:39:36.542.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
79,Receive,11:39:36.552.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
80,Receive,11:39:36.552.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 5e b4 
81,Receive,11:39:36.552.0,0x00000150,Data,Standard,0x08,fa 0d f8 0d 6f 17 50 6c 
82,Receive,11:39:36.552.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
83,Send,11:39:36.554.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
84,Receive,11:39:36.562.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
85,Receive,11:39:36.562.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 6e fe 
86,Receive,11:39:36.562.0,0x00000150,Data,Standard,0x08,fa 0d f8 0d 6f 17 60 26 
87,Send,11:39:36.566.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
88,Receive,11:39:36.572.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
89,Receive,11:39:36.572.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 7e 33 
90,Receive,11:39:36.572.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 70 70 
91,Receive,11:39:36.572.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
92,Receive,11:39:36.572.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
93,Receive,11:39:36.572.0,0x000003d2,Data,Standard,0x08,10 27 73 44 44 60 03 00 
94,Receive,11:39:36.572.0,0x000003d3,Data,Standard,0x08,a3 92 a9 22 a6 12 46 18 
95,Receive,11:39:36.572.0,0x000003e8,Data,Standard,0x08,61 00 32 00 e8 87 b1 c0 
96,Receive,11:39:36.572.0,0x000003e9,Data,Standard,0x08,94 0c 98 0c 24 1d 95 0c 
97,Receive,11:39:36.574.0,0x000003ea,Data,Standard,0x08,4a 02 14 00 00 00 00 00 
98,Receive,11:39:36.574.0,0x000003eb,Data,Standard,0x08,00 00 0a 03 0d 03 0b 03 
99,Receive,11:39:36.574.0,0x000003ec,Data,Standard,0x08,81 50 42 09 25 94 50 00 
100,Receive,11:39:36.574.0,0x000005c3,Data,Standard,0x08,01 00 70 70 00 01 05 00 
101,Receive,11:39:36.574.0,0x000005cd,Data,Standard,0x08,40 00 00 00 06 03 29 00 
102,Send,11:39:36.578.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
103,Receive,11:39:36.582.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
104,Receive,11:39:36.582.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 8e 4c 
105,Receive,11:39:36.582.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 80 0f 
106,Send,11:39:36.590.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
107,Receive,11:39:36.592.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
108,Receive,11:39:36.592.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 9e 81 
109,Receive,11:39:36.592.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 90 c2 
110,Receive,11:39:36.592.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
111,Receive,11:39:36.602.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
112,Receive,11:39:36.602.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ae cb 
113,Receive,11:39:36.602.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 a0 88 
114,Send,11:39:36.602.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
115,Receive,11:39:36.612.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
116,Receive,11:39:36.612.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 be 06 
117,Receive,11:39:36.612.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 b0 a7 
118,Receive,11:39:36.612.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
119,Send,11:39:36.614.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
120,Receive,11:39:36.622.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
121,Receive,11:39:36.622.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ce 5f 
122,Receive,11:39:36.622.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 c0 fe 
123,Send,11:39:36.626.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
124,Receive,11:39:36.632.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
125,Receive,11:39:36.632.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 de 92 
126,Receive,11:39:36.632.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 d0 33 
127,Receive,11:39:36.632.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
128,Send,11:39:36.638.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
