Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,12:29:40.906.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
1,Receive,12:29:40.906.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 be 06 
2,Receive,12:29:40.906.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 b0 45 
3,Receive,12:29:40.906.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
4,Send,12:29:40.908.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
5,Receive,12:29:40.916.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
6,Receive,12:29:40.916.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ce 5f 
7,Receive,12:29:40.916.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 c0 1c 
8,Send,12:29:40.920.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
9,Receive,12:29:40.926.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
10,Receive,12:29:40.926.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 de 92 
11,Receive,12:29:40.926.0,0x00000150,Data,Standard,0x08,f9 0d f7 0d 6f 17 d0 d1 
12,Receive,12:29:40.926.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
13,Send,12:29:40.932.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
14,Receive,12:29:40.936.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
15,Receive,12:29:40.936.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ee d8 
16,Receive,12:29:40.936.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 e0 e7 
17,Send,12:29:40.944.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
18,Receive,12:29:40.945.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
19,Receive,12:29:40.945.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 fe 15 
20,Receive,12:29:40.947.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 f0 2a 
21,Receive,12:29:40.947.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
22,Receive,12:29:40.956.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
23,Receive,12:29:40.956.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 0e 6a 
24,Receive,12:29:40.956.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 00 55 
25,Send,12:29:40.956.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
26,Receive,12:29:40.965.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
27,Receive,12:29:40.967.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 1e a7 
28,Receive,12:29:40.967.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 10 98 
29,Receive,12:29:40.967.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
30,Receive,12:29:40.967.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
31,Receive,12:29:40.967.0,0x000003d2,Data,Standard,0x08,10 27 74 44 44 78 03 00 
32,Receive,12:29:40.967.0,0x000003d3,Data,Standard,0x08,a5 72 ad 52 a9 12 46 18 
33,Receive,12:29:40.967.0,0x000003e8,Data,Standard,0x08,61 00 32 00 e8 87 c1 99 
34,Receive,12:29:40.967.0,0x000003e9,Data,Standard,0x08,94 0c 98 0c 44 10 96 0c 
35,Receive,12:29:40.967.0,0x000003ea,Data,Standard,0x08,4a 02 14 00 00 00 00 00 
36,Send,12:29:40.968.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
37,Receive,12:29:40.969.0,0x000003eb,Data,Standard,0x08,02 00 09 03 0b 03 0e 03 
38,Receive,12:29:40.969.0,0x000003ec,Data,Standard,0x08,88 50 42 09 25 94 50 00 
39,Receive,12:29:40.969.0,0x000005cd,Data,Standard,0x08,40 00 00 00 06 23 29 00 
40,Receive,12:29:40.975.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
41,Receive,12:29:40.977.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 2e ed 
42,Receive,12:29:40.977.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 20 d2 
43,Send,12:29:40.980.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
44,Receive,12:29:40.986.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
45,Receive,12:29:40.986.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 3e 20 
46,Receive,12:29:40.986.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 30 1f 
47,Receive,12:29:40.986.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
48,Receive,12:29:40.986.0,0x000005c3,Data,Standard,0x08,01 00 70 70 00 01 05 00 
49,Send,12:29:40.992.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
50,Receive,12:29:40.996.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
51,Receive,12:29:40.996.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 4e 79 
52,Receive,12:29:40.996.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 40 46 
53,Send,12:29:41.004.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
54,Receive,12:29:41.007.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
55,Receive,12:29:41.007.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 5e b4 
56,Receive,12:29:41.007.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 50 8b 
57,Receive,12:29:41.007.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
58,Send,12:29:41.016.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
59,Receive,12:29:41.017.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
60,Receive,12:29:41.017.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 6e fe 
61,Receive,12:29:41.017.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 60 c1 
62,Receive,12:29:41.025.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
63,Receive,12:29:41.027.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 7e 33 
64,Receive,12:29:41.027.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 6f 17 70 0c 
65,Receive,12:29:41.027.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
66,Send,12:29:41.028.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
67,Receive,12:29:41.036.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
68,Receive,12:29:41.036.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 8e 4c 
69,Receive,12:29:41.036.0,0x00000150,Data,Standard,0x08,f9 0d f6 0d 70 17 80 fb 
70,Send,12:29:41.039.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
71,Receive,12:29:41.047.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
72,Receive,12:29:41.047.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 9e 81 
73,Receive,12:29:41.047.0,0x00000150,Data,Standard,0x08,f9 0d f6 0d 70 17 90 36 
74,Receive,12:29:41.047.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
75,Send,12:29:41.050.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
76,Receive,12:29:41.057.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
77,Receive,12:29:41.057.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ae cb 
78,Receive,12:29:41.057.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 a0 6a 
79,Send,12:29:41.061.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
80,Receive,12:29:41.067.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
81,Receive,12:29:41.067.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 be 06 
82,Receive,12:29:41.067.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 b0 a7 
83,Receive,12:29:41.067.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
84,Receive,12:29:41.067.0,0x00000339,Data,Standard,0x08,00 00 00 00 00 00 00 00 
85,Receive,12:29:41.067.0,0x000003d2,Data,Standard,0x08,10 27 74 44 44 78 03 00 
86,Receive,12:29:41.067.0,0x000003d3,Data,Standard,0x08,a5 72 ad 52 a9 12 46 18 
87,Receive,12:29:41.067.0,0x000003e8,Data,Standard,0x08,61 00 32 00 e8 87 d1 54 
88,Receive,12:29:41.067.0,0x000003e9,Data,Standard,0x08,93 0c 98 0c 4a 10 96 0c 
89,Receive,12:29:41.069.0,0x000003ea,Data,Standard,0x08,4a 02 14 00 00 00 00 00 
90,Receive,12:29:41.069.0,0x000003eb,Data,Standard,0x08,00 00 0e 03 0c 03 0d 03 
91,Receive,12:29:41.069.0,0x000003ec,Data,Standard,0x08,89 50 42 09 25 94 50 00 
92,Receive,12:29:41.069.0,0x000005cd,Data,Standard,0x08,40 00 00 00 06 23 29 00 
93,Send,12:29:41.071.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
94,Receive,12:29:41.076.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
95,Receive,12:29:41.076.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ce 5f 
96,Receive,12:29:41.076.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 c0 fe 
97,Send,12:29:41.082.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
98,Receive,12:29:41.086.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
99,Receive,12:29:41.086.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 de 92 
100,Receive,12:29:41.086.0,0x00000150,Data,Standard,0x08,f9 0d f8 0d 70 17 d0 33 
101,Receive,12:29:41.086.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
102,Receive,12:29:41.086.0,0x000005c3,Data,Standard,0x08,01 00 71 70 00 01 05 00 
103,Send,12:29:41.093.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
104,Receive,12:29:41.096.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
105,Receive,12:29:41.096.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 ee d8 
106,Receive,12:29:41.096.0,0x00000150,Data,Standard,0x08,fa 0d f7 0d 70 17 e0 e2 
107,Send,12:29:41.105.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
108,Receive,12:29:41.106.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
109,Receive,12:29:41.106.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 fe 15 
110,Receive,12:29:41.106.0,0x00000150,Data,Standard,0x08,fa 0d f7 0d 70 17 f0 2f 
111,Receive,12:29:41.106.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
112,Receive,12:29:41.116.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
113,Receive,12:29:41.116.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 0e 6a 
114,Receive,12:29:41.116.0,0x00000150,Data,Standard,0x08,fa 0d f7 0d 70 17 00 50 
115,Send,12:29:41.116.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
116,Receive,12:29:41.126.0,0x00000101,Data,Standard,0x08,00 00 00 00 00 00 00 00 
117,Receive,12:29:41.126.0,0x0000012b,Data,Standard,0x08,01 15 0e 44 00 00 1e a7 
118,Receive,12:29:41.126.0,0x00000150,Data,Standard,0x08,f8 0d f7 0d 70 17 10 27 
119,Receive,12:29:41.126.0,0x00000272,Data,Standard,0x08,00 00 00 00 00 00 00 00 
120,Send,12:29:41.128.0,0x00000112,Data,Standard,0x08,00 18 00 00 00 00 00 00 
