Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,00:40:53.422.0,0x0000072d,Data,Standard,0x08,00 00 00 00 00 00 00 00 
1,Receive,00:40:53.422.0,0x0000072e,Data,Standard,0x06,00 00 00 00 f0 c0 
2,Receive,00:40:53.422.0,0x00000733,Data,Standard,0x08,00 00 01 ff ff ff ff ff 
3,Receive,00:40:53.422.0,0x000003c4,Data,Standard,0x08,00 00 13 88 00 00 07 36 
4,Receive,00:40:53.422.0,0x00000703,Data,Standard,0x08,0c 9d 17 74 00 39 14 46 
5,Receive,00:40:53.422.0,0x00000713,Data,Standard,0x08,7e 1a 00 01 2a 93 3c 21 
6,Send,00:40:53.438.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
7,Receive,00:40:53.438.0,0x00000703,Data,Standard,0x08,0c 9d 17 74 00 39 14 4a 
8,Receive,00:40:53.438.0,0x00000713,Data,Standard,0x08,7e 1a 00 01 2a a0 1f 22 
9,Receive,00:40:53.454.0,0x00000703,Data,Standard,0x08,0c 9d 17 74 00 39 14 4e 
10,Receive,00:40:53.454.0,0x00000713,Data,Standard,0x08,7e 1a 00 01 2a 72 2f 23 
11,Receive,00:40:53.454.0,0x00000703,Data,Standard,0x08,0c 9d 17 75 00 39 14 52 
12,Receive,00:40:53.454.0,0x00000713,Data,Standard,0x08,7e 21 00 02 2a 8c 3c 21 
13,Send,00:40:53.454.0,0x00000702,Data,Standard,0x08,01 5a 00 00 00 00 00 00 
14,Receive,00:40:53.470.0,0x00000703,Data,Standard,0x08,0c 9d 17 75 00 39 14 56 
15,Receive,00:40:53.470.0,0x00000713,Data,Standard,0x08,7e 21 00 02 2a 8c 1f 22 
16,Send,00:40:53.470.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
17,Send,00:40:53.486.0,0x00000702,Data,Standard,0x08,01 5a 00 00 00 00 00 00 
18,Receive,00:40:53.486.0,0x00000703,Data,Standard,0x08,0c 9d 17 75 00 39 14 5a 
