Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,09:39:31.766.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 73 
1,Receive,09:39:31.766.0,0x00000704,Data,Standard,0x08,0f 99 0d 00 04 b0 34 00 
2,Receive,09:39:31.766.0,0x00000705,Data,Standard,0x08,08 2f 08 00 3f 00 00 00 
3,Receive,09:39:31.766.0,0x00000706,Data,Standard,0x08,03 30 00 00 5f 14 00 9f 
4,Receive,09:39:31.766.0,0x00000707,Data,Standard,0x08,00 00 00 00 00 00 00 00 
5,Receive,09:39:31.766.0,0x00000708,Data,Standard,0x08,00 00 00 25 72 07 00 3f 
6,Receive,09:39:31.766.0,0x00000709,Data,Standard,0x08,11 51 05 4f 01 30 00 11 
7,Receive,09:39:31.766.0,0x00000710,Data,Standard,0x08,00 50 50 fd e8 4e 2f ff 
8,Receive,09:39:31.766.0,0x00000711,Data,Standard,0x08,50 c5 42 01 3a 01 06 ff 
9,Receive,09:39:31.768.0,0x00000712,Data,Standard,0x08,01 01 45 46 46 46 47 46 
10,Receive,09:39:31.768.0,0x00000713,Data,Standard,0x08,83 02 00 01 2b 38 3f 21 
11,Receive,09:39:31.768.0,0x00000714,Data,Standard,0x08,c9 1c 98 c9 7f c9 7c 98 
12,Receive,09:39:31.768.0,0x00000715,Data,Standard,0x08,c9 8c 97 c9 8f c9 6c 96 
13,Receive,09:39:31.768.0,0x00000716,Data,Standard,0x08,c9 7c 97 c9 8f c9 8c 97 
14,Receive,09:39:31.768.0,0x00000717,Data,Standard,0x08,c9 7c 97 c9 8f c9 6c 98 
15,Receive,09:39:31.768.0,0x00000718,Data,Standard,0x08,c9 7c 98 c9 8f c9 7c 98 
16,Receive,09:39:31.768.0,0x00000719,Data,Standard,0x08,c9 8c 99 c9 7f c9 7c 98 
17,Receive,09:39:31.768.0,0x0000071a,Data,Standard,0x08,c9 9c 97 c9 7f c9 8c 91 
18,Send,09:39:31.769.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
19,Receive,09:39:31.770.0,0x0000071b,Data,Standard,0x08,c9 2c 98 c9 7f c9 8c 98 
20,Receive,09:39:31.770.0,0x0000071c,Data,Standard,0x08,c9 7c 98 c9 7f c9 8c 97 
21,Receive,09:39:31.770.0,0x0000071d,Data,Standard,0x08,c9 6c 97 c9 7f c9 7c 98 
22,Receive,09:39:31.770.0,0x0000071e,Data,Standard,0x08,c9 8c 97 c9 8f c9 8c 97 
23,Receive,09:39:31.770.0,0x0000071f,Data,Standard,0x08,c9 8c 97 c9 8f c9 7c 97 
24,Receive,09:39:31.770.0,0x00000720,Data,Standard,0x08,c9 7c 95 c9 4f c9 8c 98 
25,Receive,09:39:31.770.0,0x00000721,Data,Standard,0x08,c9 8c 97 c9 7f c9 7c 97 
26,Receive,09:39:31.772.0,0x00000722,Data,Standard,0x08,c9 8c 97 c9 8f c9 8c 97 
27,Receive,09:39:31.772.0,0x00000723,Data,Standard,0x08,c9 7c 99 c9 8f c9 8c 98 
28,Receive,09:39:31.772.0,0x00000724,Data,Standard,0x08,c9 7c 98 c9 8f c9 8c 98 
29,Receive,09:39:31.772.0,0x00000725,Data,Standard,0x08,c9 8c 98 c9 8f c9 8c 98 
30,Receive,09:39:31.772.0,0x00000726,Data,Standard,0x08,c9 7c 98 c9 9f c9 9c 98 
31,Receive,09:39:31.772.0,0x00000727,Data,Standard,0x08,c9 9c 97 c9 7f c9 8c 98 
32,Receive,09:39:31.772.0,0x00000728,Data,Standard,0x08,c9 7c 98 c9 7f c9 3f ff 
33,Receive,09:39:31.772.0,0x0000072d,Data,Standard,0x08,00 00 00 00 00 00 00 00 
34,Receive,09:39:31.772.0,0x0000072e,Data,Standard,0x06,00 00 00 00 00 80 
35,Receive,09:39:31.774.0,0x00000733,Data,Standard,0x08,00 00 01 ff ff ff ff ff 
36,Receive,09:39:31.774.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 77 
37,Receive,09:39:31.776.0,0x00000713,Data,Standard,0x08,83 02 00 01 2b 45 22 22 
38,Send,09:39:31.780.0,0x00000702,Data,Standard,0x08,01 5a 00 00 00 00 00 00 
39,Receive,09:39:31.786.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 7b 
40,Receive,09:39:31.786.0,0x00000713,Data,Standard,0x08,83 02 00 01 2b 4c 2f 23 
41,Send,09:39:31.792.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
42,Receive,09:39:31.796.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 7f 
43,Receive,09:39:31.796.0,0x00000713,Data,Standard,0x08,83 02 00 01 2b 3e 3f 21 
44,Send,09:39:31.804.0,0x00000702,Data,Standard,0x08,01 5a 00 00 00 00 00 00 
45,Receive,09:39:31.806.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 43 
46,Receive,09:39:31.806.0,0x00000713,Data,Standard,0x08,83 04 00 01 2b 38 22 22 
47,Receive,09:39:31.816.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 47 
48,Receive,09:39:31.816.0,0x00000713,Data,Standard,0x08,83 04 00 01 2b 3e 2f 23 
49,Send,09:39:31.816.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
50,Receive,09:39:31.826.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 4b 
51,Receive,09:39:31.826.0,0x00000713,Data,Standard,0x08,82 ff 00 01 2b 45 3f 21 
52,Send,09:39:31.828.0,0x00000702,Data,Standard,0x08,01 5a 00 00 00 00 00 00 
53,Receive,09:39:31.836.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 4f 
54,Receive,09:39:31.836.0,0x00000713,Data,Standard,0x08,82 ff 00 01 2b 45 22 22 
55,Send,09:39:31.840.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
56,Receive,09:39:31.846.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 53 
57,Receive,09:39:31.846.0,0x00000713,Data,Standard,0x08,83 08 00 02 2b 4c 2f 23 
58,Send,09:39:31.852.0,0x00000702,Data,Standard,0x08,01 5a 00 00 00 00 00 00 
59,Receive,09:39:31.856.0,0x00000703,Data,Standard,0x08,0d 1b 17 70 00 19 14 57 
60,Receive,09:39:31.856.0,0x00000713,Data,Standard,0x08,83 08 00 02 2b 3e 3f 21 
61,Send,09:39:31.864.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
62,Receive,09:39:31.866.0,0x00000703,Data,Standard,0x08,0d 1a 17 70 00 19 14 5b 
63,Receive,09:39:31.866.0,0x00000704,Data,Standard,0x08,0f 99 0d 00 04 b0 34 00 
64,Receive,09:39:31.866.0,0x00000705,Data,Standard,0x08,08 2f 08 00 3f 00 00 00 
65,Receive,09:39:31.866.0,0x00000706,Data,Standard,0x08,03 30 00 00 5f 14 00 9f 
66,Receive,09:39:31.866.0,0x00000707,Data,Standard,0x08,00 00 00 00 00 00 00 00 
67,Receive,09:39:31.866.0,0x00000708,Data,Standard,0x08,00 00 00 25 72 07 00 3f 
68,Receive,09:39:31.866.0,0x00000709,Data,Standard,0x08,11 51 05 4f 01 30 00 11 
69,Receive,09:39:31.868.0,0x00000710,Data,Standard,0x08,00 50 50 fd e8 4e 2f ff 
70,Receive,09:39:31.868.0,0x00000711,Data,Standard,0x08,50 c5 42 01 5d 01 06 ff 
71,Receive,09:39:31.868.0,0x00000712,Data,Standard,0x08,01 01 45 46 46 46 47 46 
