Index,Direction,Time Stamp,Frame ID,Format,Type,Data Length,Data(HEX)
0,Receive,07:02:12.732.0,0x00000703,Data,Standard,0x08,0d f2 17 70 7d 6f 43 77 
1,Send,07:02:12.732.0,0x00000313,Data,Standard,0x08,03 01 00 00 01 00 00 00
2,Receive,07:02:12.747.0,0x00000703,Data,Standard,0x08,0d f2 17 70 7d 6f 63 f0 
3,Receive,07:02:12.747.0,0x00000709,Data,Standard,0x08,02 58 07 51 01 30 00 97 
4,Receive,07:02:12.747.0,0x000003eb,Data,Standard,0x08,7d 40 00 09 c4 00 00 00 
5,Receive,07:02:12.747.0,0x000003f1,Data,Standard,0x08,00 49 49 00 00 00 00 00 
6,Receive,07:02:12.747.0,0x000003f3,Data,Standard,0x08,00 00 00 00 00 00 00 00 
7,Receive,07:02:12.747.0,0x00000703,Data,Standard,0x08,0d f2 17 70 7d 6f 83 42 
8,Receive,07:02:12.747.0,0x00000706,Data,Standard,0x08,06 b4 00 00 5f 14 00 92 
9,Receive,07:02:12.747.0,0x00000707,Data,Standard,0x08,00 00 00 00 01 00 00 00 
10,Receive,07:02:12.747.0,0x00000708,Data,Standard,0x08,00 00 00 00 00 00 00 22 
11,Receive,07:02:12.747.0,0x00000710,Data,Standard,0x08,4e 4e 54 52 07 00 25 42 
12,Receive,07:02:12.747.0,0x00000711,Data,Standard,0x08,52 81 49 02 14 6c 0a b0 
13,Receive,07:02:12.747.0,0x00000712,Data,Standard,0x08,47 4c 4a 4e 4b 4a 4e 4b 
14,Receive,07:02:12.747.0,0x00000713,Data,Standard,0x08,00 00 00 06 e4 95 00 00 
15,Receive,07:02:12.747.0,0x0000072d,Data,Standard,0x08,00 00 00 00 00 00 00 00 
16,Receive,07:02:12.747.0,0x0000072e,Data,Standard,0x08,00 00 00 00 00 00 00 00 
17,Receive,07:02:12.747.0,0x00000733,Data,Standard,0x08,00 01 be 00 00 00 42 7f 
18,Send,07:02:12.747.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
19,Receive,07:02:12.763.0,0x00000703,Data,Standard,0x08,0d f2 17 70 7d 6f a3 c5 
20,Receive,07:02:12.763.0,0x00000703,Data,Standard,0x08,0d f2 17 70 7d 6f c3 51 
21,Send,07:02:12.763.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
22,Receive,07:02:12.778.0,0x00000703,Data,Standard,0x08,0d f2 17 70 7d 6f e3 d6 
23,Send,07:02:12.778.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
24,Receive,07:02:12.794.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e 03 a1 
25,Receive,07:02:12.794.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e 23 26 
26,Send,07:02:12.794.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
27,Receive,07:02:12.810.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e 43 b2 
28,Send,07:02:12.810.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
29,Receive,07:02:12.825.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e 63 35 
30,Receive,07:02:12.825.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e 83 87 
31,Send,07:02:12.825.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
32,Receive,07:02:12.841.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e a3 00 
33,Send,07:02:12.841.0,0x00000701,Data,Standard,0x08,a3 01 00 00 00 00 00 00 
34,Receive,07:02:12.856.0,0x00000709,Data,Standard,0x08,03 58 07 51 01 30 00 ca 
35,Receive,07:02:12.856.0,0x000003eb,Data,Standard,0x08,7d 40 00 09 c4 00 00 00 
36,Receive,07:02:12.856.0,0x000003f1,Data,Standard,0x08,00 49 49 00 00 00 00 00 
37,Receive,07:02:12.856.0,0x000003f3,Data,Standard,0x08,00 00 00 00 00 00 00 00 
38,Receive,07:02:12.856.0,0x00000500,Data,Standard,0x08,ce 6c e6 ce 20 00 00 00 
39,Receive,07:02:12.856.0,0x00000703,Data,Standard,0x08,0d f4 17 70 7d 6e c3 94 
40,Receive,07:02:12.856.0,0x00000706,Data,Standard,0x08,06 b4 00 00 5f 14 00 73 
41,Receive,07:02:12.856.0,0x00000707,Data,Standard,0x08,00 00 00 00 01 00 00 00 
42,Receive,07:02:12.856.0,0x00000708,Data,Standard,0x08,00 00 00 00 00 00 00 23 
43,Receive,07:02:12.856.0,0x00000710,Data,Standard,0x08,4e 4d 54 52 07 00 25 43 
44,Receive,07:02:12.856.0,0x00000711,Data,Standard,0x08,52 81 49 03 14 6c 0a 2d 
45,Receive,07:02:12.856.0,0x00000712,Data,Standard,0x08,47 4c 4a 4e 4b 4a 4e 4b 
46,Receive,07:02:12.856.0,0x00000713,Data,Standard,0x08,00 00 00 06 e4 95 00 00 
47,Receive,07:02:12.856.0,0x00000714,Data,Standard,0x08,ce 6c e6 ce 60 ce 6c e7 
48,Receive,07:02:12.856.0,0x00000715,Data,Standard,0x08,ce 7c e6 ce 70 ce 6c e7 
49,Receive,07:02:12.856.0,0x00000716,Data,Standard,0x08,ce 8c e7 ce 70 ce 5c e5 
50,Receive,07:02:12.856.0,0x00000717,Data,Standard,0x08,ce 7c e7 ce 70 ce 7c e9 
51,Receive,07:02:12.856.0,0x00000718,Data,Standard,0x08,ce 8c e6 ce 70 ce 6c e8 
